© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
D-myo-inositol-5-phosphate Metabolism	3.29E00	3.15E-01	NaN	SOCS3,PLCB2,MINPP1,PTPN23,MTMR9,PPP2R5B,PIKFYVE,ACP1,IGBP1,PTEN,SACM1L,PTPRC,PDCD1,PPP1R13B,PGAM5,PRUNE1,DUSP11,RNGTT,PTPN6,PIP4P1,PPTC7,FIG4,PLPP6,MTMR4,DUSP1,PLCG2,PPM1H,SGPP1,PPIP5K1,HACD2,PPM1K,UBLCP1,DUSP2,PXYLP1,MTMR6,SET,DUSP5,PTPRJ,PPM1F,DOT1L,PP2D1,PPP4R1,NUDT15,PPP2R5A,DUSP14,PLD4,SYNJ1,NUDT16,PPP2R5E,PTPN22,DUSP16
3-phosphoinositide Biosynthesis	3.26E00	3E-01	NaN	SOCS3,MINPP1,PTPN23,MTMR9,PIK3R1,PPP2R5B,PIKFYVE,ACP1,IGBP1,PIK3R4,PTEN,SACM1L,PTPRC,CD28,PDCD1,PIK3CG,PPP1R13B,PGAM5,PRUNE1,DUSP11,IRS2,RNGTT,FRS2,ATM,PIK3C2B,PTPN6,PPTC7,FIG4,PLPP6,MTMR4,PI4K2A,DUSP1,PPM1H,SGPP1,PIK3CA,PPIP5K1,PPM1K,HACD2,DUSP2,PXYLP1,UBLCP1,MTMR6,SET,DUSP5,PTPRJ,PPM1F,PI4KB,GRB2,DOT1L,PP2D1,PPP4R1,NUDT15,PPP2R5A,DUSP14,SYNJ1,NUDT16,PIK3CB,PPP2R5E,PTPN22,DUSP16
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	3.26E00	3.75E-01	NaN	CD247,MAP2K4,TGFBR1,Calm1 (includes others),CD3E,NFATC3,KRAS,CD28,IKBKG,PPP3CB,TGFB1,PPP3R1,SOS1,CHUK,NFKBIB,MAP2K1,NRAS,RRAS,GRB2,MAP3K1,MAPK8,IKBKE,PPP3CC,CD3D,FOS,NFKBID,CD3G,BCL10,PLCG2,ELK1
HGF Signaling	3.21E00	3.39E-01	-5.145	MAP2K4,PIK3CA,PIK3R1,KRAS,PIK3R4,ELF4,PAK1,AKT1,ETS2,PIK3CG,SOS1,IRS2,FRS2,MAP2K1,PRKD3,MAP3K2,ATM,MAP3K9,PIK3C2B,AKT2,NRAS,RRAS,GRB2,CRKL,MAP3K1,MAPK8,STAT3,RAP1A,FOS,MAP3K12,ELF2,PRKCI,PRKCD,PLCG2,CDKN1A,PIK3CB,PTGS2,ELK1,ELK3
Mitotic Roles of Polo-Like Kinase	3.2E00	3.94E-01	-2.500	KIF23,ANAPC2,CDC20,PPP2CA,PPP2R2A,PLK3,PTTG1,PPP2R5B,CDC7,CDC23,ANAPC1,PLK4,TGFB1,PLK2,CDC16,WEE1,PRC1,ANAPC13,PPP2R5A,CAPN1,ANAPC5,HSP90AA1,PKMYT1,PPP2R5E,CDC27,KIF11
IL-4 Signaling	3.11E00	3.6E-01	NaN	PIK3CA,HLA-A,NFATC3,PIK3R1,HLA-DQA1,INPPL1,KRAS,JAK2,HLA-DQB1,PIK3R4,SHC1,AKT1,PIK3CG,SOS1,RPS6KB2,IRS2,FRS2,ATM,RPS6KB1,PIK3C2B,IL4R,PTPN6,AKT2,NRAS,IRF4,RRAS,GRB2,SYNJ2,SYNJ1,PIK3CB,NR3C2,INPP5K
Death Receptor Signaling	3.1E00	3.55E-01	-3.182	MAP2K4,Naip1 (includes others),PARP2,TNFSF10,PARP12,PARP9,DFFA,DIABLO,TANK,IKBKG,BID,PARP11,CHUK,NFKBIB,TNFRSF1B,FASLG,PARP14,NAIP,CASP3,ACTB,ZC3HAV1,APAF1,MAPK8,IKBKE,TNKS2,ROCK1,NFKBID,RIPK1,CASP2,CYCS,ACTG1,CASP7,BIRC2
D-myo-inositol (1,4,5)-trisphosphate Degradation	3.1E00	6.11E-01	NaN	SYNJ2,IMPA1,SYNJ1,IMPAD1,INPP5E,SEC16A,IMPA2,INPPL1,INPP5K,INPP5A,PMPCA
Mevalonate Pathway I	3.04E00	6.92E-01	NaN	MVD,ACAT2,PMVK,IDI1,MVK,HADHB,HMGCR,HMGCS1,HADHA
TNFR2 Signaling	3.04E00	5E-01	-1.604	MAP2K4,NAIP,Naip1 (includes others),MAP3K1,MAPK8,TNFAIP3,IKBKE,TANK,NFKBID,FOS,IKBKG,CHUK,NFKBIB,TNFRSF1B,BIRC2
Hypoxia Signaling in the Cardiovascular System	3.04E00	3.73E-01	-1.155	UBE2Z,UBE2V2,PTEN,UBE2F,VEGFA,IKBKG,AKT1,UBE2B,CREB1,UBE2K,NFKBIB,UBE2Q2,ATM,CREB3,UBE2R2,MDM2,UBE2L6,UBE2G2,NFKBID,UBE2L3,UBE2J1,UBE2H,UBE2G1,HIF1AN,HSP90AA1,VHL,UBE2J2,UBE2I
ATM Signaling	3.03E00	3.47E-01	-0.577	MAP2K4,GADD45B,PPP2R2A,PPP2CA,SUV39H1,PPP2R5B,RAD50,RAD51,RAD17,CREB1,BID,HIST1H4J,BLM,BRCA1,ATM,ATF1,TOPBP1,CREB3,MAPK8,MDM2,KAT5,PPP2R5A,HERC2,RNF168,MDM4,CBX1,BRAT1,SMC2,RAD9A,CDKN1A,MRE11,ATR,PPP2R5E,TLK2
p53 Signaling	2.93E00	3.33E-01	-0.186	PIK3CA,GADD45B,JMY,PIK3R1,PIAS1,CDK4,PIK3R4,PTEN,SCO2,AKT1,KAT2B,STAG1,THBS1,PPP1R13B,PIK3CG,IRS2,GSK3B,BRCA1,FRS2,ATM,PIK3C2B,PRKDC,AKT2,TOPBP1,GRB2,PERP,APAF1,MAPK8,TIGAR,MDM2,BAX,TP53BP2,MDM4,CCND2,CDKN1A,PIK3CB,ATR
Telomerase Signaling	2.93E00	3.33E-01	-3.286	PIK3CA,PPP2R2A,PPP2CA,PIK3R1,TERF2IP,TERT,PPP2R5B,KRAS,PIK3R4,HDAC6,SHC1,ELF4,AKT1,ETS2,PIK3CG,HDAC11,SOS1,IRS2,FRS2,MAP2K1,POT1,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,DKC1,PPP2R5A,ELF2,HDAC3,CDKN1A,HSP90AA1,TPP1,PIK3CB,PPP2R5E,ELK3
Role of BRCA1 in DNA Damage Response	2.93E00	3.62E-01	-0.728	PBRM1,BARD1,SMARCD2,E2F3,BRCC3,RAD50,MLH1,RAD51,BLM,BRCA1,E2F2,ATM,IFNG,RBL2,ATF1,TOPBP1,ACTB,RFC5,POU2F1,MSH2,RFC4,MRE11,CDKN1A,MSH6,FAAP24,BRCA2,ATR,HLTF,PHF10
Cyclins and Cell Cycle Regulation	2.93E00	3.62E-01	0.894	PA2G4,PPP2CA,PPP2R2A,SUV39H1,PPP2R5B,CDK4,E2F3,HDAC6,CCNA2,TGFB1,HDAC11,GSK3B,E2F2,ATM,CCNE2,TFDP1,WEE1,CDK7,SIN3A,PPP2R5A,CCNE1,CDKN2D,CCND2,HDAC3,CDKN1A,ATR,BTRC,CDKN1B,PPP2R5E
CXCR4 Signaling	2.89E00	3.03E-01	-5.555	MAP2K4,PLCB2,MYL6,PIK3R1,RACK1,KRAS,PIK3R4,PAK1,GNA15,RHOB,PIK3CG,MYL4,ARHGEF11,IRS2,FRS2,PRKD3,ATM,PIK3C2B,AKT2,RRAS,GNG2,GNG10,RHOQ,PRKCD,RHOA,ELMO2,PIK3CA,GNA11,CRK,RHOH,AKT1,GNG5,MAP2K1,PAK4,NRAS,CXCR4,RHOC,GRB2,GNA12,EGR1,GNAQ,MAPK8,ROCK1,GNAI3,FOS,PRKCI,PAK2,PIK3CB,ELK1,ADCY7
GM-CSF Signaling	2.89E00	3.7E-01	-4.491	PIK3CA,PIK3R1,RACK1,KRAS,JAK2,PIK3R4,SHC1,CAMK2D,AKT1,PPP3CB,PIM1,PIK3CG,PPP3R1,SOS1,IRS2,FRS2,MAP2K1,ATM,PIK3C2B,AKT2,NRAS,RRAS,GRB2,STAT3,PPP3CC,PIK3CB,ELK1
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	2.89E00	5.79E-01	NaN	SYNJ2,MINPP1,SYNJ1,INPP5E,SEC16A,ITPKC,INPPL1,INPP5K,INPP5A,PMPCA,PTEN
DNA damage-induced 14-3-3σ Signaling	2.89E00	5.79E-01	NaN	AKT2,CCNE1,CCNE2,AKT1,RAD9A,RAD17,HUS1,ATR,BRCA1,RAD1,ATM
Regulation of eIF4 and p70S6K Signaling	2.88E00	3.06E-01	-2.449	PIK3CA,PPP2R2A,PPP2CA,PIK3R1,PPP2R5B,KRAS,PAIP2,PIK3R4,EIF2S1,EIF2B2,EIF4E,EIF2A,SHC1,AKT1,RPS20,EIF3D,PIK3CG,PAIP1,SOS1,IRS2,RPS17,RPS3,MAP2K1,FRS2,ATM,PIK3C2B,RPS6KB1,AKT2,NRAS,RRAS,GRB2,EIF2B3,AGO2,EIF2S3,PPP2R5A,EIF2S2,RPS15,RPS16,EIF4A3,AGO3,RPS15A,PIK3CB,PPP2R5E,EIF3L,EIF1AX,EIF3K,RPSA,RPS14
Melanoma Signaling	2.87E00	4E-01	-3.578	PIK3C2B,PIK3CA,AKT2,NRAS,RRAS,GRB2,MITF,PIK3R1,CDK4,MDM2,KRAS,PIK3R4,PTEN,BRAF,AKT1,PIK3CG,CDKN1A,IRS2,PIK3CB,FRS2,MAP2K1,ATM
Cell Cycle: G1/S Checkpoint Regulation	2.87E00	3.79E-01	0.000	RPL11,PA2G4,SUV39H1,PAK1IP1,CDK4,E2F3,HDAC6,TGFB1,HDAC11,GSK3B,E2F2,ATM,RBL2,CCNE2,TFDP1,MDM2,SIN3A,CCNE1,CDKN2D,CCND2,HDAC3,CDKN1A,ATR,BTRC,CDKN1B
Myc Mediated Apoptosis Signaling	2.84E00	3.71E-01	NaN	MAP2K4,PIK3CA,PIK3R1,KRAS,PIK3R4,SHC1,AKT1,PIK3CG,SOS1,BID,IRS2,FRS2,FASLG,ATM,PIK3C2B,AKT2,YWHAG,NRAS,CASP3,RRAS,GRB2,MAPK8,APAF1,BAX,PIK3CB,CYCS
Angiopoietin Signaling	2.8E00	3.59E-01	-1.606	PIK3CA,PIK3R1,KRAS,CRK,NCK1,PIK3R4,IKBKG,PAK1,AKT1,PIK3CG,SOS1,IRS2,CHUK,NFKBIB,FRS2,ATM,PIK3C2B,PAK4,AKT2,NRAS,RRAS,GRB2,IKBKE,NFKBID,ANGPTL1,PAK2,PIK3CB,ELP1
TWEAK Signaling	2.8E00	4.57E-01	-0.500	NAIP,Naip1 (includes others),CASP3,APAF1,IKBKE,BAG4,TNFRSF12A,NFKBID,IKBKG,RIPK1,BID,CYCS,CHUK,NFKBIB,CASP7,BIRC2
PI3K Signaling in B Lymphocytes	2.77E00	3.15E-01	-5.692	PLCB2,PIK3CA,Calm1 (includes others),ATF7,NFATC3,PIK3R1,ATF6,KRAS,FCGR2B,PTEN,PTPRC,IKBKG,CAMK2D,AKT1,PPP3CB,PPP3R1,PIK3CG,CREB1,IRS2,CHUK,NFKBIB,MAP2K1,IL4R,AKT2,NRAS,ATF3,ATF1,RRAS,IKBKE,PLCL2,PPP3CC,NFKBID,FOS,PRKCI,DAPP1,CD180,BCL10,PLCG2,SYK,PIK3CB,ELK1
Apoptosis Signaling	2.77E00	3.44E-01	-1.616	MAP2K4,Naip1 (includes others),KRAS,DFFA,DIABLO,IKBKG,BID,CHUK,NFKBIB,TNFRSF1B,MAP2K1,FASLG,AIFM1,NAIP,NRAS,CASP3,RRAS,MAPK8,APAF1,IKBKE,BAX,ROCK1,NFKBID,CAPNS1,CASP2,CAPN1,PLCG2,CYCS,BCL2L11,CASP7,BIRC2
Natural Killer Cell Signaling	2.77E00	3.2E-01	NaN	CD247,PIK3CA,KLRD1,PIK3R1,INPPL1,KRAS,NCK1,PIK3R4,SHC1,PAK1,SH2D1A,AKT1,PIK3CG,SOS1,IRS2,HCST,FRS2,MAP2K1,PRKD3,KLRC1,ATM,PIK3C2B,PAK4,AKT2,PTPN6,NRAS,RRAS,FCGR2A,GRB2,SH3BP2,SYNJ2,PRKCI,SYNJ1,PRKCD,PLCG2,SYK,PAK2,PIK3CB,INPP5K
Fatty Acid β-oxidation I	2.77E00	4.69E-01	NaN	HSD17B10,ACSL3,ECHS1,ACAA2,SLC27A4,ECI1,AUH,HADHB,IVD,EHHADH,ACADM,HSD17B4,HADHA,HADH,ACSL1
Th1 Pathway	2.72E00	3.11E-01	-4.333	CD247,SOCS3,CCR5,PIK3CA,CD3E,IL12RB1,HLA-A,KLRD1,NFATC3,PIK3R1,HLA-DQA1,NCSTN,HLA-DQB1,JAK2,TBX21,PIK3R4,CD8A,IL18R1,CD28,NFIL3,PIK3CG,CD274,IRS2,FRS2,ICOSLG/LOC102723996,KLRC1,ATM,PIK3C2B,IFNG,IL10,GRB2,IFNGR2,IL12RB2,STAT3,CD3D,STAT4,CD3G,APH1A,IL10RB,PIK3CB,GATA3,IFNAR1
Endometrial Cancer Signaling	2.72E00	3.75E-01	-3.578	PIK3C2B,PIK3CA,AKT2,NRAS,RRAS,GRB2,PIK3R1,ILK,CTNNA1,KRAS,PIK3R4,MLH1,PTEN,AKT1,PIK3CG,SOS1,PIK3CB,IRS2,LEF1,GSK3B,ELK1,FRS2,MAP2K1,ATM
IL-2 Signaling	2.72E00	3.75E-01	-4.146	PIK3C2B,PIK3CA,AKT2,NRAS,RRAS,GRB2,PIK3R1,MAPK8,KRAS,PIK3R4,SHC1,FOS,CSNK2A2,AKT1,SYK,PIK3CG,SOS1,IRS2,PIK3CB,CSNK2B,ELK1,FRS2,MAP2K1,ATM
Salvage Pathways of Pyrimidine Ribonucleotides	2.7E00	3.37E-01	NaN	MAP2K4,UPRT,NME1,FAM20B,SGK1,NME2,CDK4,TTK,NME7,BRAF,PAK1,PRKX,CDK5,PIM1,PRKAA1,CMPK1,MAP2K1,APOBEC3B,MAP3K9,DAPK1,AKT2,CMPK2,CDK7,MAPK8,PRKCD,PAK2,UCK1,EIF2AK2,UCK2,ADPGK,UCKL1,ACVR2A
Gαq Signaling	2.68E00	2.98E-01	-5.427	PLD2,PLCB2,PIK3CA,Calm1 (includes others),GRK2,NFATC3,PIK3R1,RACK1,GNA11,PIK3R4,RHOH,HMOX1,IKBKG,AKT1,GNA15,RHOB,PPP3CB,PPP3R1,PIK3CG,IRS2,GSK3B,CHUK,GNG5,NFKBIB,PRKD3,MAP2K1,FRS2,ATM,PIK3C2B,AKT2,RGS2,RHOC,GRB2,GNG2,GNAQ,IKBKE,PPP3CC,GNG10,PLD4,ROCK1,NFKBID,RHOQ,PRKCI,PRKCD,RHOA,PLCG2,PIK3CB,ELK1
Induction of Apoptosis by HIV1	2.65E00	3.77E-01	-2.132	MAP2K4,NAIP,Naip1 (includes others),SLC25A4,CASP3,CXCR4,MAPK8,APAF1,IKBKE,BAX,DFFA,DIABLO,NFKBID,IKBKG,RIPK1,BID,ELP1,CYCS,CHUK,NFKBIB,TNFRSF1B,FASLG,BIRC2
Androgen Signaling	2.61E00	3.07E-01	-3.162	POLR2F,POLR2D,Calm1 (includes others),RACK1,GNA11,POLR2J,GTF2H2,GTF2E2,MNAT1,PRKAG1,NCOA4,SHC1,HSPA4,POLR2C,POLR2A,KAT2B,GNA15,GTF2H5,DNAJB1,GNG5,PRKD3,TAF2,POLR2L,POLR2I,GNA12,CDK7,GNG2,GNAQ,TBP,PRKAR2A,POLR2H,ERCC2,GNG10,POLR2G,GNAI3,PRKCI,POLR2E,PRKCD,GTF2E1,PRKACA,GTF2H1,HSP90AA1
mTOR Signaling	2.61E00	2.84E-01	-3.507	PLD2,PPP2CA,PIK3R1,PPP2R5B,KRAS,RICTOR,PIK3R4,VEGFA,RHOB,RPS20,EIF3D,PIK3CG,PRKAA1,IRS2,FRS2,PRKD3,ATM,PIK3C2B,RPS6KB1,AKT2,DDIT4,RRAS,ATG13,RHOQ,RHOA,PRKCD,EIF4A3,RPS15A,RPSA,EIF3K,TSC1,PIK3CA,PPP2R2A,RPS6KA3,VEGFB,RHOH,EIF4E,PRKAG1,HMOX1,AKT1,RPS6KB2,RPS17,RPS3,NRAS,RHOC,GRB2,RPS6KA5,PPP2R5A,PLD4,RPS15,RPS16,PRKCI,PIK3CB,RPS6KA4,PPP2R5E,EIF3L,RPS14
NRF2-mediated Oxidative Stress Response	2.57E00	2.85E-01	-4.914	MAP2K4,PIK3R1,DNAJC3,GCLC,KRAS,PIK3R4,CLPP,ABCC1,PIK3CG,DNAJA2,IRS2,GSK3B,PRKD3,FRS2,ATM,PIK3C2B,RRAS,DNAJC19,JUNB,MAFF,GSR,ERP29,PRKCD,DNAJC18,DNAJC14,ENC1,ACTG1,GSTP1,USP14,PIK3CA,PRDX1,NQO2,MAFG,HMOX1,AKT1,PMF1/PMF1-BGLAP,UBE2K,FMO1,DNAJB1,NFE2L2,MAP2K1,GSTM1,NRAS,GRB2,ACTB,MAP3K1,MAPK8,HERPUD1,DNAJC1,FOS,PRKCI,CAT,PIK3CB,DNAJC7,DNAJB5
TCA Cycle II (Eukaryotic)	2.52E00	5E-01	NaN	SDHA,SUCLA2,CS,IDH3G,SUCLG1,DLD,SDHD,SDHC,IDH3A,MDH1,FH,IDH3B
Unfolded protein response	2.51E00	3.82E-01	NaN	SCAP,INSIG1,HSPH1,Hspa1b,HSPA1A/HSPA1B,HSPA9,MAPK8,CANX,DNAJC3,ATF6,HSPA5,CEBPG,EIF2A,SEL1L,HSPA8,HSPA4,SREBF1,EDEM1,PPP1R15A,DNAJA2,NFE2L2
UVA-Induced MAPK Signaling	2.49E00	3.21E-01	-3.900	MAP2K4,PIK3CA,PLCB2,PIK3R1,PARP2,RPS6KA3,PARP12,KRAS,SMPD1,PIK3R4,PARP9,PIK3CG,RPS6KB2,PARP11,IRS2,FRS2,PARP14,ATM,PIK3C2B,RPS6KB1,NRAS,CASP3,RRAS,GRB2,ZC3HAV1,MAPK8,TNKS2,RPS6KA5,PLCL2,FOS,PLCG2,PIK3CB,CYCS,RPS6KA4
IGF-1 Signaling	2.49E00	3.21E-01	-4.700	SOCS3,PIK3CA,PIK3R1,SOCS6,KRAS,JAK2,PIK3R4,PRKAG1,SHC1,AKT1,PIK3CG,SOS1,RPS6KB2,IRS2,CSNK2B,FRS2,MAP2K1,ATM,PIK3C2B,RPS6KB1,AKT2,NRAS,YWHAG,RRAS,GRB2,MAPK8,PRKAR2A,STAT3,FOS,CSNK2A2,PRKCI,PRKACA,PIK3CB,ELK1
FLT3 Signaling in Hematopoietic Progenitor Cells	2.49E00	3.37E-01	-5.014	PIK3CA,PIK3R1,RPS6KA3,KRAS,PIK3R4,EIF4E,SHC1,AKT1,PIK3CG,CREB1,SOS1,IRS2,FRS2,MAP2K1,ATM,RPS6KB1,PIK3C2B,AKT2,NRAS,RRAS,GRB2,CREB3,RPS6KA5,STAT3,STAT4,PIK3CB,RPS6KA4,STAT2,ELK1
Virus Entry via Endocytic Pathways	2.49E00	3.24E-01	NaN	B2M,FLNB,PIK3CA,HLA-A,PIK3R1,KRAS,AP1B1,PIK3R4,AP2A2,CD55,AP1G2,PIK3CG,IRS2,FRS2,PRKD3,ATM,PIK3C2B,AP2M1,NRAS,RRAS,GRB2,ACTB,CLTC,AP2S1,PRKCI,CLTA,PRKCD,PLCG2,TFRC,ITGA1,PIK3CB,ACTG1,CXADR
RANK Signaling in Osteoclasts	2.49E00	3.24E-01	-5.209	MAP2K4,PIK3CA,Calm1 (includes others),PIK3R1,TAB2,PIK3R4,IKBKG,AKT1,PPP3CB,PPP3R1,PIK3CG,IRS2,CHUK,NFKBIB,MAP2K1,FRS2,MAP3K2,ATM,MAP3K9,PIK3C2B,AKT2,MITF,GRB2,MAP3K1,MAPK8,IKBKE,PPP3CC,FOS,NFKBID,MAP3K12,PIK3CB,ELK1,BIRC2
ErbB Signaling	2.49E00	3.27E-01	-4.596	MAP2K4,PIK3CA,PIK3R1,KRAS,NCK1,PIK3R4,SHC1,PAK1,AKT1,PIK3CG,SOS1,IRS2,GSK3B,FRS2,MAP2K1,PRKD3,ATM,RPS6KB1,PIK3C2B,PAK4,NRAS,RRAS,GRB2,MAPK8,NRG4,FOS,PRKCI,PRKCD,PLCG2,PAK2,PIK3CB,ELK1
CNTF Signaling	2.48E00	3.65E-01	-4.379	RPS6KB1,PIK3C2B,PIK3CA,NRAS,RRAS,GRB2,PIK3R1,RPS6KA3,RPS6KA5,KRAS,STAT3,JAK2,PIK3R4,AKT1,PIK3CG,SOS1,RPS6KB2,RPS6KA4,IRS2,PIK3CB,FRS2,MAP2K1,ATM
fMLP Signaling in Neutrophils	2.47E00	3.09E-01	-4.667	PLCB2,PIK3CA,Calm1 (includes others),ARPC1B,NFATC3,PIK3R1,RACK1,KRAS,PIK3R4,IKBKG,ACTR3,PPP3CB,PPP3R1,PIK3CG,CYBB,IRS2,GNG5,NFKBIB,MAP2K1,FRS2,PRKD3,ATM,PIK3C2B,NRAS,RRAS,ARPC5L,GRB2,GNG2,PPP3CC,GNG10,GNAI3,NFKBID,NCF1,PRKCI,ARPC1A,PRKCD,PIK3CB,ELK1
PTEN Signaling	2.46E00	3.11E-01	2.333	FOXO4,PIK3CA,TGFBR1,PIK3R1,ILK,BMPR2,INPPL1,KRAS,PTEN,SHC1,IKBKG,AKT1,BMPR1A,PIK3CG,SOS1,RPS6KB2,CSNK2B,GSK3B,CHUK,MAP2K1,FASLG,RPS6KB1,AKT2,NRAS,CASP3,SHARPIN,RRAS,GRB2,IKBKE,SYNJ2,CSNK2A2,SYNJ1,CDKN1A,PIK3CB,CDKN1B,INPP5K,BCL2L11
Cardiac Hypertrophy Signaling	2.44E00	2.71E-01	-6.018	MAP2K4,PLCB2,TGFBR1,MYL6,PIK3R1,RACK1,KRAS,PIK3R4,RHOB,GNA15,TGFB1,PIK3CG,PPP3R1,MYL4,IRS2,GSK3B,FRS2,MAP3K2,ATM,MAP3K9,PIK3C2B,RPS6KB1,RRAS,GNG2,EIF2B3,PLCL2,PPP3CC,GNG10,MAP3K12,RHOQ,RHOA,PLCG2,PRKACA,PIK3CA,Calm1 (includes others),GNA11,ATF6,RHOH,EIF2B2,EIF4E,PRKAG1,AKT1,PPP3CB,SOS1,CREB1,GNG5,MAP2K1,ADRB2,NRAS,RHOC,GRB2,GNA12,MAP3K1,PRKAR2A,GNAQ,MAPK8,ADSS,ROCK1,GNAI3,MEF2D,MEF2C,PIK3CB,ELK1,ADCY7
VEGF Signaling	2.44E00	3.2E-01	-4.315	PIK3CA,PIK3R1,VEGFB,KRAS,EIF2S1,PIK3R4,EIF2B2,ELAVL1,VEGFA,SHC1,AKT1,PIK3CG,SOS1,IRS2,FRS2,MAP2K1,ATM,SH2D2A,PIK3C2B,PTPN6,AKT2,NRAS,RRAS,GRB2,ACTB,EIF2B3,EIF2S3,EIF2S2,ROCK1,PLCG2,PIK3CB,ACTG1,EIF1AX
p70S6K Signaling	2.44E00	3.03E-01	-3.683	PIK3CA,PLCB2,F2RL2,PPP2R2A,PPP2CA,PIK3R1,PPP2R5B,KRAS,PIK3R4,SHC1,AKT1,F2RL1,PIK3CG,SOS1,IRS2,EEF2K,BCAP31,MAP2K1,FRS2,PRKD3,ATM,PIK3C2B,RPS6KB1,IL4R,AKT2,NRAS,YWHAG,RRAS,EEF2,GRB2,GNAQ,PLCL2,PPP2R5A,GNAI3,PRKCI,PRKCD,PLCG2,SYK,PIK3CB,PPP2R5E
LPS-stimulated MAPK Signaling	2.44E00	3.33E-01	-5.014	MAP2K4,PIK3CA,PIK3R1,KRAS,PIK3R4,IKBKG,PAK1,PIK3CG,CREB1,IRS2,CHUK,NFKBIB,FRS2,MAP2K1,PRKD3,ATM,PIK3C2B,NRAS,ATF1,RRAS,GRB2,MAPK8,IKBKE,FOS,NFKBID,PRKCI,PRKCD,PIK3CB,ELK1
Integrin Signaling	2.42E00	2.74E-01	-6.119	MAP2K4,RAP2B,Wasl,PIK3R1,PIKFYVE,KRAS,NCK1,PIK3R4,PTEN,PAK1,RHOB,PIK3CG,ARF4,ITGAV,IRS2,GSK3B,FRS2,ATM,PIK3C2B,AKT2,TSPAN5,RRAS,CRKL,RAP1A,ARHGAP5,ARPC1A,ITGAM,RHOQ,RHOA,PLCG2,CAPN1,ITGA1,ACTG1,PIK3CA,RALA,ARPC1B,ARHGEF7,ILK,CRK,RHOH,BRAF,SHC1,ACTR3,AKT1,SOS1,MAP2K1,PAK4,PARVA,NRAS,RHOC,ARPC5L,GRB2,ACTB,MAPK8,ROCK1,CAPNS1,LIMS1,PAK2,PIK3CB,Arf2
IL-8 Signaling	2.42E00	2.79E-01	-6.581	MAP2K4,PLD2,PLCB2,PIK3R1,RACK1,KRAS,PIK3R4,RAB11FIP2,VEGFA,IKBKG,RHOB,PIK3CG,CYBB,ITGAV,IRS2,NFKBIB,FRS2,PRKD3,ATM,PIK3C2B,RPS6KB1,AKT2,RRAS,GNG2,GNG10,CCND2,ITGAM,RHOQ,RHOA,PRKCD,PIK3CA,VEGFB,RHOH,BRAF,HMOX1,AKT1,CHUK,GNG5,MAP2K1,LASP1,NRAS,RHOC,GRB2,GNA12,MAPK8,IKBKE,BAX,ROCK1,PLD4,GNAI3,FOS,PRKCI,PAK2,PIK3CB,PTGS2
EGF Signaling	2.39E00	3.53E-01	-4.491	MAP2K4,RPS6KB1,PIK3C2B,PIK3CA,AKT2,GRB2,PIK3R1,MAP3K1,MAPK8,STAT3,PIK3R4,SHC1,FOS,CSNK2A2,AKT1,PIK3CG,SOS1,IRS2,PIK3CB,CSNK2B,ELK1,FRS2,MAP2K1,ATM
ErbB4 Signaling	2.38E00	3.47E-01	-3.962	PIK3C2B,ADAM17,PIK3CA,NRAS,RRAS,GRB2,PIK3R1,NCSTN,NRG4,KRAS,PIK3R4,SHC1,AKT1,PRKCI,PRKCD,PIK3CG,PLCG2,APH1A,SOS1,IRS2,PIK3CB,PRKD3,MAP2K1,FRS2,ATM
SAPK/JNK Signaling	2.38E00	3.17E-01	-5.048	MAP2K4,PIK3CA,NFATC3,PIK3R1,KRAS,CRK,PIK3R4,SHC1,PIK3CG,SOS1,IRS2,MAP4K1,GNG5,FRS2,MAP3K2,ATM,SH2D2A,PIK3C2B,MAP3K9,NRAS,RRAS,GRB2,GNA12,CRKL,GNG2,MAP3K1,MAPK8,MAP4K3,MAP3K12,RIPK1,PIK3CB,MAP4K5,ELK1
Neuregulin Signaling	2.37E00	3.3E-01	-2.858	ADAM17,PIK3R1,CRK,KRAS,CDK5R1,PTEN,SHC1,AKT1,CDK5,SOS1,RPS6KB2,MAP2K1,PRKD3,RNF41,MATK,RPS6KB1,AKT2,NRAS,RRAS,GRB2,ERBIN,CRKL,NRG4,PRKCI,PLCG2,PRKCD,HSP90AA1,CDKN1B,ELK1
Th1 and Th2 Activation Pathway	2.37E00	2.81E-01	NaN	CD247,SOCS3,CCR5,TGFBR1,CD3E,IL12RB1,NFATC3,PIK3R1,NCSTN,HLA-DQB1,TBX21,PIK3R4,CD8A,IL18R1,CD28,TGFB1,PIK3CG,CCR8,CD274,IRS2,FRS2,ICOSLG/LOC102723996,ATM,KLRC1,PIK3C2B,IL4R,IL12RB2,STAT3,CD3G,APH1A,CXCR6,IFNAR1,PIK3CA,HLA-A,KLRD1,CHD4,HLA-DQA1,BMPR2,JAK2,NFIL3,IFNG,CXCR4,IL10,GRB2,IFNGR2,CD3D,STAT4,S1PR1,IL10RB,PIK3CB,GATA3,ACVR2A
Mismatch Repair in Eukaryotes	2.37E00	5.62E-01	NaN	PMS2,MSH2,RFC4,MSH3,MSH6,RFC5,POLD1,MLH1,EXO1
