© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target molecules in dataset	Mechanistic Network	
IL36B	 	cytokine	 	 	 	2.26E-03	CD40,CD80,IFNG,IL18,TNF	202 (15)	
CHI3L1	 	enzyme	 	 	 	4.88E-03	BHLHE40,CDH1,MMP9,NAMPT,VEGFA	166 (10)	
AKIRIN2	1.037	other	 	 	 	3.48E-02	DUSP1,MMP9	 	
ZMPSTE24	1.450	peptidase	 	 	 	4.60E-02	ATF3,GADD45B,IGF1R,SOCS3,TNF	 	
IPMK	2.036	kinase	 	1.964	bias	1.43E-02	FOS,FOSB,JUNB,PER1	 	
Hdac1l	 	enzyme	 	 	 	5.59E-03	DUSP1,MYBL2	 	
ADTRP	 	other	 	 	 	4.38E-02	TFPI	 	
BRINP1	 	peptidase	 	 	 	4.38E-02	ESR1	 	
SNAI3	-5.052	transcription regulator	 	 	 	4.38E-02	CDH1	 	
SV2B	 	transporter	 	 	 	4.38E-02	SYT1	 	
SNORD21	 	other	 	 	 	4.38E-02	HLA-A	 	
cis-urocanic acid	 	chemical drug	 	1.981	bias	1.43E-02	GADD45B,HSPA1A/HSPA1B,TNF,TNFAIP3	 	
Adaptor protein 1	 	complex	 	 	 	1.06E-02	CR2,IFNG,MMP9	 	
IDO2	 	enzyme	 	 	 	4.38E-02	CD40	 	
SIRT3	-1.127	enzyme	 	-1.657	bias	4.60E-05	IFNG,MT-ATP6,MT-CO1,MT-CO2,MT-CYB,PFKM,SCD,TNF,VEGFA	241 (20)	
CYLD	1.251	transcription regulator	 	-0.365	 	5.79E-03	CD40,CD80,CR2,CTLA4,IFNG,TNFSF4	168 (13)	
BTNL2	 	transmembrane receptor	 	-1.890	bias	4.58E-02	CAPN3,DAPL1,DRC1,Hspa1b,IFNG,KCNK6,TNF	 	
PRKAG3	 	other	 	 	 	6.42E-03	ACVR1,AMD1,DNASE1,EGR1,ENOX2,HIST4H4,HSPA5,IL15,JUNB,KLF4,NAMPT,ODC1,RPL13A,SLC40A1,TMCC2	 	
PHF8	1.665	enzyme	 	 	 	4.51E-02	PRAM1,RARB	 	
RNF31	1.503	enzyme	 	0.000	bias	1.43E-02	C8orf44-SGK3/SGK3,CXCR4,EGR3,ESR1	 	
TADA2B	1.653	peptidase	 	 	 	4.38E-02	CD19	 	
MTF2	-1.234	transcription regulator	 	 	 	1.76E-02	CDKN2A,KLF4	 	
KY	 	other	 	 	 	4.38E-02	IFNG	 	
MYOC	 	other	 	 	 	3.90E-02	ANXA1,CHRM3,DPP7,FSCN1,HSPA5,RAB27B,SLC7A11,TGIF1	 	
VPS36	1.291	other	 	 	 	4.38E-02	ESR1	 	
LRRK2	-5.616	kinase	 	 	 	1.76E-02	SNCA,TNF	 	
DOCK8	1.506	other	 	0.632	bias	8.09E-04	CD40,HELZ2,IFIT1B,IL15,IL18,ISG20,NFKBIZ,RGS1,SLFN12L,TNF	 	
PPP2R2D	-1.026	phosphatase	 	 	 	4.38E-02	PPARG	 	
TMEM184A	5.614	other	 	 	 	4.38E-02	DUSP1	 	
Ifngas1	 	other	 	 	 	4.38E-02	IFNG	 	
LMAN1	1.880	other	 	 	 	4.38E-02	F5	 	
IGF2	2.270	growth factor	 	 	 	1.61E-02	CORO2B,CXCR4,DUSP1,EGR1,GCH1,IGF1R,JUNB,MYBL2,RAD51AP1,SKAP2,SLC38A2,SOCS3,TGIF1,VEGFA	 	
ZNF503	 	other	 	 	 	4.38E-02	CDH1	 	
MT-TE	 	other	 	 	 	2.57E-03	MT-ATP6,MT-CO2,MT-CYB	 	
DEPDC1	1.482	transcription regulator	 	 	 	4.38E-02	TNFAIP3	 	
tosedostat	 	chemical drug	 	0.640	bias	1.68E-03	ATF3,ATF5,PPP1R15A,SLC38A2,SLC7A11,VEGFA	 	
Ctf2	 	cytokine	 	 	 	4.38E-02	SOCS3	 	
DMTN	 	other	 	 	 	4.38E-02	ITPKB	 	
NFKBIL1	-1.147	transcription regulator	 	 	 	4.38E-02	TNF	 	
MORC1	-21.320	other	 	 	 	4.38E-02	SPO11	 	
CLDN9	 	other	 	 	 	4.38E-02	TJP1	 	
C1QL1	 	other	 	 	 	5.59E-03	FOS,NR4A1	168 (12)	
PGLYRP4	 	transmembrane receptor	 	 	 	4.38E-02	IFNG	 	
MRPL14	2.978	other	 	 	 	3.48E-02	MT-CO1,MT-CO2	 	
Histone h4	 	group	 	 	 	2.84E-02	ADA,CD40,CD69,CDKN2A,CIITA,ESR1,FOS,MMP9,PPARG,RARB,SOCS3,TNF	 	
exendin(9-39) amide	 	biologic drug	 	 	 	4.38E-02	FOS	 	
SLC17A6	 	transporter	 	 	 	4.38E-02	NR4A1	 	
IGF1R	-31.164	transmembrane receptor	 	0.629	bias	2.08E-02	CD5L,CDH1,COX6A2,ESR1,FOS,HSPA5,IGF1R,IRS1,IRS2,KIF20A,Meg3,MT-ATP6,MT-CO1,NR4A1,SFMBT2,SLC16A2,TJP1,VEGFA,ZFP36L2	 	
MOG	 	other	 	1.183	bias	2.58E-03	CD274,CD40,CD80,CIITA,CTLA4,IFNG,MMP9,TNF	187 (15)	
ARID5A	4.506	transcription regulator	 	 	 	3.48E-02	IFNG,TNF	 	
SOX11	 	transcription regulator	 	-1.628	bias	6.98E-03	AS3MT,CD19,CXCR4,EBF1,EGR1,FCMR,PAX5,SEPT2,SKAP2	 	
SELENOS	-1.170	other	 	 	 	2.57E-02	HSPA5,PPARG,TNF	 	
MPP3	 	kinase	 	 	 	4.38E-02	NECTIN1	 	
LOXL3	 	enzyme	 	 	 	4.38E-02	CDH1	 	
NLRP9	 	other	 	 	 	4.38E-02	IL18	 	
PKD2L1	 	ion channel	 	 	 	4.38E-02	PKD1L3	 	
alpha-pinene	 	chemical reagent	 	 	 	4.38E-02	TNF	 	
NLRX1	-1.373	other	 	 	 	1.06E-02	IFNG,OAS1,TNF	 	
PGLYRP1	-12.234	transmembrane receptor	 	 	 	4.38E-02	IFNG	 	
sGC	 	complex	 	 	 	1.76E-02	EGR1,FOS	 	
ADRB	 	group	 	1.473	 	1.79E-04	ATF3,ATF5,BHLHE40,BNIP3,CD40,CDKN2A,CREM,FOS,JUNB,KLF4,MMP9,NR4A1,NR4A2,NR4A3,SLC40A1,SLC7A11,SRXN1	273 (21)	
Klre1	-1.316	transmembrane receptor	 	 	 	4.38E-02	IFNG	 	
ABCA4	 	transporter	 	 	 	1.06E-02	C3,CFP,IFNG	 	
GPR18	-1.259	g-protein coupled receptor	 	 	 	4.38E-02	TNF	 	
WDR1	1.477	other	 	 	 	4.38E-02	IL18	 	
RGMB	-5.200	other	 	 	 	4.38E-02	CDH1	 	
BCO1	42.764	enzyme	 	 	 	1.73E-02	BCO2,HTATIP2,PPARG	 	
ZG16B	 	other	 	 	 	4.38E-02	CXCR4	 	
LIN9	-94.406	other	 	 	 	4.51E-02	CDKN2A,MYBL2	 	
NSD1	1.406	transcription regulator	 	 	 	2.13E-02	HBB,KLF6,ZFP36L1	 	
SFRP5	 	transmembrane receptor	 	 	 	3.48E-02	CXCR4,TNF	 	
HDAC11	1.613	transcription regulator	 	 	 	2.56E-02	TNF,TNFSF4	 	
FGF14	 	growth factor	 	 	 	4.38E-02	FOS	 	
phosphodiesterase 4 inhibitor	 	chemical drug	 	 	 	4.38E-02	TNF	 	
QRFP	-6.241	other	 	 	 	3.48E-02	PPARG,SLC27A1	 	
PLXND1	3.950	transmembrane receptor	 	 	 	4.38E-02	VEGFA	 	
HLA-DRB5	-2.474	transmembrane receptor	 	 	 	4.38E-02	IFNG	 	
Hya	 	other	 	 	 	1.92E-03	CD80,CTLA4	 	
ADGRF5	 	g-protein coupled receptor	 	 	 	4.51E-02	MMP9,TNF	 	
NELFCD	-1.969	other	 	 	 	4.51E-02	JUNB,MYBL2	 	
TRPM3	 	ion channel	 	 	 	4.38E-02	EGR1	 	
TMEM123	1.420	other	 	 	 	4.38E-02	CD40	 	
KLHL21	1.017	other	 	 	 	1.52E-03	DUSP1,NFKBIZ,TNFAIP3	 	
PHLPP2	1.378	enzyme	 	 	 	2.56E-02	IRS1,TNF	 	
ZMYND10	-32.952	other	 	 	 	2.56E-02	MMP9,VEGFA	 	
LECT2	 	other	 	 	 	1.37E-02	C3,IFNG,TNF	 	
EN2	 	transcription regulator	 	 	 	2.56E-02	PAX5,SNCA	 	
RECQL4	29.745	enzyme	 	 	 	1.76E-02	Abcb1b,HBB	 	
SEMA7A	-24.098	transmembrane receptor	 	0.762	bias	1.67E-02	EGR1,IL18,IL4R,TNF	 	
SBDS	2.693	other	 	 	 	3.90E-02	EGR1,FOS,GADD45B,GSTT2/GSTT2B,HSPA5,IL4R,MAFF,PPP1R15A	 	
MAGEA3/MAGEA6	 	other	 	 	 	5.59E-03	IFNG,TNF	 	
Raet1a	 	other	 	 	 	1.92E-03	HLA-A,IFNG	 	
LILRA3	 	other	 	 	 	4.38E-02	TNF	 	
H2-T24	1.765	other	 	 	 	4.38E-02	IFNG	 	
ADAMTS9	 	peptidase	 	 	 	1.92E-03	MMP9,VEGFA	 	
BCR (complex)	 	complex	 	0.122	bias	5.79E-04	CD69,CD80,CDKN2A,CXCR4,EGR1,FCMR,FOS,FOSB,HSPA5,IFNG,JUNB,KLF4,NAMPT,POU2AF1,TNFRSF25	213 (18)	
26s Proteasome	 	complex	 	0.274	bias	3.54E-02	AHR,ATF5,ATP6V0D2,ESR1,GCH1,JUNB,MLF1,PRNP,RFC3,SKIL,SOCS3,ULBP1	 	
HISTONE	 	group	 	 	 	1.05E-02	AHR,ATF5,CIITA,HPGD,SLPI	 	
Testosterone-AR dimer	 	complex	 	 	 	4.38E-02	KLK3	 	
Growth hormone	 	group	 	1.238	bias	2.72E-03	C3,CDH1,CENPX,EGR1,FOS,FOSL2,GSTM5,HBB,IGF1R,JUNB,LIPE,MMP9,MT-CO2,MT-CYB,NAMPT,PLK2,PPARG,PPP1R15A,SOCS3,Ubb	294 (22)	
Mir122a,b	 	group	 	 	 	3.07E-02	BCL2L2,CD69,IFNG	 	
9530018H14Rik	 	other	 	 	 	4.38E-02	CDH1	 	
RPE65	 	enzyme	 	 	 	1.76E-02	FOS,RDH12	 	
Ifn	 	group	 	1.026	bias	3.63E-02	CD40,CD69,CD80,FOS,HLA-A,IL15,ISG20,MMP9,TNFSF13B,ZBP1	 	
isocoumarin NM-3	 	chemical drug	 	 	 	4.51E-02	TNF,VEGFA	 	
potassium dichromate	 	chemical toxicant	 	 	 	4.38E-02	CDKN2A	 	
Traj18	 	other	 	-1.000	 	9.44E-04	CD40,CD80,IFNG,TNF	152 (7)	
48s	 	complex	 	0.447	bias	3.32E-04	ATF5,HSPA5,IGF1R,PPP1R15A,VEGFA	 	
MTORC1	 	complex	 	0.568	bias	6.53E-03	AHR,CYP17A1,IFNG,KLF4,NFIL3,SCD,TNF	276 (22)	
Focal adhesion kinase	 	group	 	 	 	4.06E-02	DSP,KLK3,MMP9,PALLD	 	
Caveolin	 	group	 	 	 	4.38E-02	TNF	 	
NSC 270012	 	chemical reagent	 	 	 	4.38E-02	TNF	 	
tofacitinib	 	chemical drug	 	 	 	1.76E-02	IFNG,TNF	 	
Ifnar	 	group	 	1.696	bias	1.15E-04	C3,CD274,CD40,CD8A,HLA-A,IFIT1B,IFNG,IL15,ISG20,MMP9,OAS1,TNF,ZBP1	203 (15)	
alpha-hederin	 	chemical reagent	 	 	 	4.38E-02	MMP9	 	
estrogen receptor	 	group	 	-0.007	 	2.01E-03	ABCG2,ANXA1,C3,CALCB,CDH1,CLN8,CXCR4,DSP,EGR1,ERBB2,FOS,HSP90AA1,HSPA1A/HSPA1B,IRS1,ITGA3,JAG1,MMP9,MT-CO2,RGS2,TIMP2,VEGFA	299 (21)	
Cg	 	complex	 	0.937	bias	5.15E-07	Abcb1b,ARHGAP22,BCAT1,BHLHE40,CDH1,CREM,CXCR4,CYP17A1,DUSP1,EGR1,ENPP2,ESM1,GBP6,HLA-A,HPGD,IFNG,IGF1R,IL1R2,IL4R,IRS2,KLF4,LRRN3,MCAM,MEN1,MMP9,MYCL,NR4A1,NUCB2,PPARG,PPP1R14A,RGS2,SBSN,SEMA3E,SRXN1,TENM4,TNF,VCAN,VEGFA	278 (19)	
Myosin2	 	complex	 	 	 	4.38E-02	PPARG	 	
tryptase	 	group	 	 	 	4.51E-02	MMP9,TNFAIP3	 	
leucine	 	chemical - endogenous mammalian	 	-0.059	 	1.39E-03	ATF3,EEF1A1,FOS,NR4A1,PPP1R15A,TNF	202 (15)	
arginine	 	chemical - endogenous mammalian	 	0.447	 	9.15E-03	EGR1,GCH1,HSPA5,SCD,TNF	269 (19)	
HMGA1	-2.933	transcription regulator	 	-1.345	 	2.33E-03	CD19,CD80,COX6A2,EGR1,ESR1,FOS,FOSL2,ID3,IL15,JUNB,LIPE,MMP9,NECTIN1,NFIX,PPARG	266 (19)	
dalcetrapib	 	chemical drug	 	 	 	4.38E-02	TNF	 	
IL7R	-1.914	transmembrane receptor	 	-1.982	bias	1.29E-02	AHR,CD19,CD79A,EBF1,ETS2,IFNG,PAX5,SLAMF6,SPON1	 	
WDR5	1.616	enzyme	 	 	 	3.07E-02	ERBB2,ESR1,KLK3	 	
HHIP	 	other	 	 	 	1.09E-02	EBF1,PAX5	 	
AMH	 	growth factor	 	-0.718	bias	2.54E-02	ACVR1,CDKN2A,CEACAM1,CYP17A1	 	
PRKCD	1.317	kinase	 	1.495	bias	5.24E-03	BNIP3,CDKN2A,CIITA,ETS2,FOS,FOSL2,JCHAIN,JUNB,KLF6,MMP9,NR4A1,OAS1,ODC1,PPP1R15A,TNF,VEGFA	200 (18)	
IDH2	3.864	enzyme	 	 	 	2.13E-02	CDH1,EGR1,PPARG	 	
TRA	 	transmembrane receptor	 	 	 	2.22E-02	CD79A,IFNG,SOCS3,TNF	 	
deferasirox	 	chemical drug	 	1.000	bias	4.98E-02	FOS,PPARG,RGS1,TNF	 	
hispidulin	 	chemical drug	 	 	 	4.38E-02	EGR1	 	
DLG1	-1.774	kinase	 	 	 	3.48E-02	IFNG,TNF	 	
cabozantinib	 	chemical drug	 	 	 	4.38E-02	CD274	 	
catumaxomab	 	biologic drug	 	 	 	2.57E-03	CD40,CD69,CD80	 	
Cabin1-HDAC1/2-MEF2D-MITR-Sin3	 	complex	 	 	 	4.38E-02	NR4A1	 	
MEF2D-NFAT2-p300	 	complex	 	 	 	4.38E-02	NR4A1	 	
MRPL12	-1.284	other	 	 	 	4.51E-02	MT-CO1,MT-CO2	 	
volasertib	 	chemical drug	 	 	 	4.38E-02	ESR1	 	
NNZ 2566	 	biologic drug	 	 	 	4.38E-02	ATF3	 	
vasopressins	 	biologic drug	 	 	 	4.38E-02	FOS	 	
GSK690693	 	chemical drug	 	 	 	2.56E-02	ERBB2,IGF1R	 	
ghrelin	 	biologic drug	 	 	 	7.85E-04	EGR1,FOS,SCD	159 (7)	
firtecan pegol	 	chemical drug	 	 	 	1.09E-02	BNIP3,CXCR4	 	
fontolizumab	 	biologic drug	 	 	 	3.60E-02	IFNG,NAMPT,TNF	 	
xanthohumol	 	chemical - endogenous non-mammalian	 	0.200	bias	5.06E-03	ANXA1,FOS,GAB2,LY96,SCD,TNF	110 (7)	
IgG2a	 	complex	 	 	 	3.48E-02	IFNG,TNF	 	
Tnf (family)	 	group	 	-0.275	bias	2.35E-02	ATF3,CD40,ENPP2,ESM1,IFNG,JAG1,KL,LAD1,MMP9,SOCS3,TNFAIP3,TNFSF13B	 	
SCAVENGER receptor CLASS A	 	group	 	 	 	2.13E-02	CD80,IFNG,TNF	 	
Collagen type III	 	complex	 	 	 	3.48E-02	CDH1,GP1BA	 	
mediator	 	complex	 	 	 	4.38E-02	FOS	 	
Gm-csf	 	group	 	0.485	bias	7.27E-03	CD40,CD80,FOS,JUNB,MMP9,SOCS3,TNF	261 (22)	
T-cell alpha/beta receptor	 	complex	 	 	 	4.38E-02	Klra7 (includes others)	 	
TRIM27	2.277	transcription regulator	 	 	 	1.76E-02	IFNG,TNF	 	
ICAM1	2.841	transmembrane receptor	 	1.869	bias	2.82E-03	CD69,CD80,FOS,IFNG,MMP9,TNF,VEGFA	218 (21)	
GUCY2C	 	kinase	 	 	 	2.56E-02	IFNG,TNF	 	
Inflammasome (Nalp3, Asc, Casp1)	 	complex	 	 	 	1.76E-02	IL18,SCD	 	
hydrogel	 	chemical drug	 	 	 	4.51E-02	CDH1,TJP1	 	
MAPK8IP1	2.381	other	 	-1.000	 	8.38E-03	FOS,IFNG,SNCA,TNF	249 (18)	
GRP	 	growth factor	 	0.566	bias	4.09E-03	FOS,FOSB,KLK3,PTK2,VEGFA	251 (20)	
PPP1R1B	42.819	phosphatase	 	 	 	3.60E-02	ERBB2,FOS,SNCA	 	
FCGR2B	1.078	transmembrane receptor	 	-0.132	bias	3.64E-02	CD80,SOCS3,TNF,VEGFA	 	
TRH	 	other	 	1.016	 	2.18E-02	CDK14,DUSP1,FOS,JUNB,NR4A1	 	
CCND1	-4.904	transcription regulator	 	1.041	 	6.72E-03	Bmyc,CDH1,CDKN2A,CENPH,COL20A1,ELOVL7,ENPP2,ERBB2,FAM129B,HSPA1A/HSPA1B,HSPA8,ID3,KDM6B,KIF20A,KLK3,MAFF,MELK,MFSD6,PMEPA1,PPARG,RGS2,SELENBP1,STOM,TNF,TUBB1	288 (18)	
XDH	1.375	enzyme	 	-0.082	 	8.31E-04	CD69,CXCR4,DUSP1,ID3,PPARG,TIMP2,TNF	219 (17)	
SHH	 	peptidase	 	1.251	bias	4.46E-02	ABCG2,AMD1,ATF5,CALCB,CD69,COL10A1,EBF1,IFNG,MAGI1,NR4A1,PAX5,RFC3,TJP1	 	
STAT3	2.274	transcription regulator	 	0.643	bias	2.53E-06	AHR,ALAS2,CCDC88A,CD274,CD40,CD80,CDH1,CDKN2A,CEACAM1,CIITA,CTLA4,CXCR4,EGR1,EGR3,ESR1,FFAR2,FOS,FSCN1,GBP6,HBB,HLA-A,IFIT1B,IFNG,IGF1R,IL4R,ISG20,JAG1,JUNB,KLF4,KLK3,LCAT,MMP9,MT-ATP6,MT-CO1,MT-CO2,MT-CYB,NAMPT,NFKBIZ,NR4A2,OAS1,PAX5,PLA2G4A,PTK2,SERPINB9,SLFN12L,SOCS3,TNF,VCAN,VEGFA	301 (19)	
ZSCAN21	-1.009	transcription regulator	 	 	 	4.38E-02	SNCA	 	
GIT1	1.688	kinase	 	 	 	1.09E-02	MMP9,PTK2	 	
GAB2	-23.046	other	 	-0.537	bias	1.20E-02	CD69,CDH1,FOS,ITGA2B,TNF	 	
PLP1	-1.114	other	 	 	 	8.31E-04	ATF3,ENPP2,HSPA5,IFNG,PPP1R15A,SEPT2,TNF	170 (10)	
CHRNA1	-1.492	transmembrane receptor	 	0.447	bias	1.53E-04	CD40,CD69,CD80,CTLA4,IFNG	181 (11)	
NFATC3	-1.465	transcription regulator	 	1.000	bias	1.00E-03	AIF1,ATF3,CD69,CR2,EGR3,FOS,IFNG,PPARG,TNF	142 (10)	
FLNA	-1.198	other	 	 	 	4.82E-02	GP1BA,KLK3,MMP9	 	
ASCL2	 	transcription regulator	 	 	 	3.48E-02	CXCR4,EGR1	 	
brodalumab	 	biologic drug	 	 	 	2.13E-02	CD80,IL17C,IL4R	 	
PDGFD	 	growth factor	 	 	 	2.56E-02	CXCR4,VEGFA	 	
ARHGEF17	 	other	 	 	 	4.38E-02	FOS	 	
NR1H3	-126.608	ligand-dependent nuclear receptor	 	-0.688	 	4.31E-02	ATF3,CD5L,MMP9,NR1H3,PPARG,SCD,SLC16A2,TNF,VEGFA	 	
Ins1	 	other	 	1.179	bias	3.67E-02	Abcb1b,EGR1,FABP3,FOS,IGF1R,IRS1,IRS2,JUNB,LIPE,MTTP,NR1H3,ODC1,PER1,PPARG,SCD,SLC27A1,SOCS3,TIMP2,TNF,VAMP5,VEGFA	 	
AREG	-1.967	growth factor	 	0.579	 	3.90E-02	C3,CXCR4,EGR1,FOS,HIST1H2AC,KIF20A,MMP9,MYBL2	 	
CASP1	1.142	peptidase	 	-0.785	bias	4.40E-03	CDH1,IFNG,IL18,PPARG,SCD,TNF	201 (19)	
ANTXR1	 	transmembrane receptor	 	 	 	4.38E-02	HSPA1A/HSPA1B	 	
SRF	1.242	transcription regulator	 	1.544	bias	1.97E-03	ACTG2,AMD1,CD19,CSRP2,CXCR4,DUSP5,EGR1,EGR3,EXTL2,FOS,FOSB,GCH1,GP1BA,GSTM5,IL15,ITGA2B,JUNB,LRP4,MGST2,MMP9,NECTIN1,NR4A1,NR4A2,PRG3,RAB27B,SERPIND1,SLPI	148 (10)	
TIRAP	-14.041	other	 	-0.553	bias	4.06E-02	CD40,IFNG,IL15,TNF	 	
NCOR2	1.355	transcription regulator	 	0.958	bias	4.98E-02	C3,CD69,CD80,FOS,RARB	 	
ITGB2	1.386	transmembrane receptor	 	0.728	 	1.19E-02	CD69,GADD45B,IFNG,MMP9,TNF,VEGFA	 	
RGS2	31.223	other	 	 	 	1.37E-02	IL18,MARCO,PPARG	 	
PRKCE	1.492	kinase	 	1.739	bias	4.06E-04	CDH1,EGR1,FOS,HSPA5,ITGA2B,JUNB,MMP9,ODC1,RGS2,TNF,VEGFA	245 (22)	
TFAP2A	-5.726	transcription regulator	 	-0.575	 	2.49E-02	ANXA1,CDH1,CENPX,ERBB2,ESR1,KLF4,PPARG,RAB27B,VEGFA	 	
cerotic acid	 	chemical - endogenous mammalian	 	 	 	1.09E-02	CD40,CD80	 	
GP9	 	other	 	 	 	4.38E-02	GP1BA	 	
AZI2	1.248	other	 	 	 	3.48E-02	IFNG,TNF	 	
PGF	 	growth factor	 	1.213	bias	5.06E-03	CXCR4,EGR1,ETS2,FOSB,MMP9,TNF	205 (22)	
Raet1b	 	other	 	 	 	8.39E-05	HLA-A,IFNG,TNF	201 (10)	
dixanthogen	 	chemical toxicant	 	 	 	4.38E-02	GSTM5	 	
SRI	1.522	transporter	 	 	 	4.38E-02	HSPA5	 	
LITAF	8.177	transcription regulator	 	 	 	3.48E-02	IFNG,TNF	 	
STAT1	2.475	transcription regulator	 	0.699	bias	2.84E-03	ALAS2,C3,CD274,CD40,CEACAM1,CIITA,CREM,CSF3R,EGR1,FOS,GBP6,IFIT1B,IFNG,IGF1R,IL15,KLF4,LY96,MMP9,OAS1,PPARG,RARB,RTP4,SLFN12L,SOCS3,TLR8,TNF,TNFSF13B	255 (16)	
STAP2	 	other	 	 	 	3.60E-02	CXCR4,PTK2,TNF	 	
KL	108.605	enzyme	 	0.651	 	1.37E-02	EGR1,KL,MMP9,TNF,VEGFA	 	
IGF1	-1.147	growth factor	 	1.565	bias	1.67E-03	ADA,ANPEP,BHLHE40,CDH1,CDKN2A,CYP17A1,DUSP1,EGR1,ESR1,FOS,FOSB,HBB,HSPA5,IGF1R,IL18,IL4R,IRS1,IRS2,ITGA3,JUNB,NR4A1,ODC1,PENK,PLK2,PPARG,PRNP,RARB,SCD,SLPI,SOCS3,TJP1,TNF,VEGFA,ZFP36L1,ZFP36L2	301 (21)	
ALDH2	-2.938	enzyme	 	 	 	1.67E-02	ATF5,CALCB,SLC3A2,SLC7A11	 	
PF-251802	 	chemical drug	 	 	 	1.92E-03	IFNG,TNF	128 (7)	
PF-4308515	 	chemical drug	 	 	 	1.92E-03	IFNG,TNF	128 (7)	
PXN	3.400	other	 	 	 	2.56E-02	KLK3,PTK2	 	
PI3K (family)	 	group	 	1.225	bias	6.31E-03	CD274,CDH1,CXCR4,ESR1,FOS,HSPA5,MMP9,SKIL,TJP1,TNF,VEGFA	274 (21)	
vaccenic acid	 	chemical - endogenous mammalian	 	 	 	2.56E-02	PLIN4,TNF	 	
NELFB	-1.209	other	 	 	 	1.37E-02	ATF3,GADD45B,VEGFA	 	
trametinib	 	chemical drug	 	 	 	4.38E-02	CD274	 	
PRKACB	1.674	kinase	 	 	 	2.56E-02	PENK,RARB	 	
TFEC	 	transcription regulator	 	 	 	6.85E-03	BCL11A,CSF3R,IGF1R,KLK3	 	
ZFYVE9	-26.085	peptidase	 	 	 	1.09E-02	CDH1,TJP1	 	
GATA2	 	transcription regulator	 	-0.008	 	4.50E-02	ALAS2,CCR3,CCR8,CD300LD,CD69,Ear2 (includes others),FCRLA,GCSAM,Gm10408 (includes others),HBA1/HBA2,HHEX,Ifnz (includes others),IL4R,ITGA2B,KLK3,MCTP1,MYO18B,NFIL3,PLK2,PPARG,PRG3,TNFSF4,TUBB1,VEGFA,ZNF365	 	
PTEN	1.284	phosphatase	 	0.728	 	3.12E-04	ANXA1,C3,CBX4,CD274,CD40,CDH1,CDKN2A,CXCR4,DUSP1,ESR1,ETS2,FES,FOS,GGT1,HSPA1A/HSPA1B,IFNG,IFT88,IGF1R,IL4R,IRS2,JAG1,KLF6,LAD1,MMP9,MT-ATP6,MT-CO2,MT-CYB,MYBL2,NFIL3,NR4A2,PPARG,PYGL,SCD,SOCS3,TNF,TRADD,VEGFA	279 (21)	
LHX1	 	transcription regulator	 	-1.706	bias	3.89E-02	ANPEP,BHMT2,CALCB,FABP3,GATM,GGT1,HHEX,JAG1,KL	 	
ITGB7	1.485	transmembrane receptor	 	 	 	1.92E-03	IFNG,TNF	 	
NCOR1	-1.586	transcription regulator	 	-1.118	bias	5.50E-04	CDH1,CDKN2A,CREM,CSF3R,DUSP1,KLK3,MMP9,OXNAD1,PMEPA1,PPARG,RARB,SERPINF1	299 (22)	
UCP2	1.341	transporter	 	 	 	2.57E-02	IFNG,SCD,TNF	 	
BAK1	2.492	other	 	-0.277	bias	7.91E-03	DNAJB2,HLA-A,IL15,TNF,TRIM6-TRIM34	205 (15)	
VIP	 	other	 	0.916	 	6.31E-03	CD274,CD40,CD80,CHGB,CTLA4,EGR3,FOS,TJP1,TLR8,TNF,VIPR1	230 (17)	
CCK	 	other	 	1.522	 	2.30E-04	CREM,EGR1,FOS,PENK,VEGFA	239 (20)	
APOA4	 	transporter	 	-0.958	 	2.58E-03	FOS,IFNG,MTTP,TNF	 	
PROCR	 	other	 	 	 	2.57E-02	GBP6,MMP9,TJP1	 	
C1QA	3.330	peptidase	 	0.555	 	1.43E-03	CD274,CD80,EGR1,IFNG,TNF	254 (16)	
LCK	1.321	kinase	 	0.451	bias	1.05E-02	ANXA1,CD69,FOS,IFNG,MMP9	 	
RIPK2	2.792	kinase	 	0.717	bias	3.39E-03	CD40,CD69,IFNG,MTTP,NR1H3,RASGRP3,SCD,SLC27A1,TNF	269 (20)	
HLX	1.097	transcription regulator	 	-0.648	bias	2.80E-03	Cd24a,CDKN2A,EGR1,IFNG,IL4R,KYNU	 	
LAIR1	-1.888	transmembrane receptor	 	 	 	2.56E-02	IFNG,TNF	 	
SELL	-2.905	transmembrane receptor	 	 	 	2.57E-03	CXCR4,IFNG,TNF	272 (21)	
RASGRF2	6.068	other	 	 	 	4.38E-02	TNF	 	
ACACA	1.716	enzyme	 	 	 	4.51E-02	PPARG,SCD	 	
FANCA	-45.576	other	 	 	 	4.51E-02	EGR1,TNF	 	
SEMA3F	 	other	 	 	 	1.76E-02	MMP9,VEGFA	 	
CFB	-1.110	peptidase	 	 	 	3.07E-02	C3,CR2,HSPA5	 	
GMNN	-1.052	transcription regulator	 	0.000	bias	1.04E-02	ACVR1,CDH1,CHST15,DSP,DUSP1,DUSP5,IRS1,TEAD2,VEGFA	 	
ZFHX3	16.075	transcription regulator	 	 	 	1.70E-02	DOHH,EBF1,HLA-A,ID3,PLA2G7,RGS2,SP9,TUBB2B,Ubb	 	
DEF6	-1.130	other	 	-0.837	bias	4.37E-03	CDH1,FOS,IFNG,MMP9	120 (7)	
