© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
FXR/RXR Activation	5.98E-01	7.14E-02	NaN	PPARG,TTR,IL18,C3,LCAT,SERPINF1,NR1H3,TNF,MTTP
Opioid Signaling Pathway	5.91E-01	6.2E-02	-2.138	FOSB,BLK,RGS1,FOS,CACNB1,CACNA1E,GRK3,CACNB4,PENK,GNAO1,RGS11,RYR1,CACNB3,CACNA2D4,PRKCG
Glucocorticoid Biosynthesis	5.91E-01	1.67E-01	NaN	CYP17A1,Cyp2d22
OX40 Signaling Pathway	5.91E-01	7.69E-02	NaN	NFKBID,TNFSF4,HLA-A,H2-Eb2,HLA-DMB,HLA-DOB,HLA-F
Epithelial Adherens Junction Signaling	5.91E-01	6.85E-02	NaN	TUBB1,NOTCH4,CDH1,MAGI1,ACVR1,NECTIN1,ACTG2,PTPRM,ACTN1,TUBB2B
T Cell Receptor Signaling	5.91E-01	7.34E-02	NaN	PIK3R3,FOS,KL,IRS1,IRS2,CD8A,CTLA4,ITK
CXCR4 Signaling	5.91E-01	6.67E-02	0.707	PTK2,PIK3R3,ELMO3,FOS,KL,CXCR4,EGR1,IRS1,GNAO1,IRS2,PRKCG
Regulation of Cellular Mechanics by Calpain Protease	5.84E-01	8.77E-02	NaN	PTK2,ITGA3,CNGA1,ACTN1,CAPN3
p53 Signaling	5.63E-01	7.21E-02	-1.134	CDKN2A,PIK3R3,GADD45B,JMY,KL,IRS1,IRS2,PIDD1
CCR3 Signaling in Eosinophils	5.58E-01	6.92E-02	-1.000	PIK3R3,PLA2G4A,CCR3,PLA2G2D,KL,IRS1,PLA2G4B,IRS2,PRKCG
Intrinsic Prothrombin Activation Pathway	5.55E-01	9.52E-02	-2.000	KLK3,F5,COL10A1,COL11A2
GDNF Family Ligand-Receptor Interactions	5.53E-01	7.89E-02	0.816	PIK3R3,FOS,KL,IRS1,IRS2,DOK3
Leukotriene Biosynthesis	5.49E-01	1.54E-01	NaN	MGST2,GGT1
Acute Phase Response Signaling	5.45E-01	6.47E-02	-1.000	PIK3R3,NFKBID,TRADD,SOCS3,FOS,TTR,IL18,C3,SERPINF1,TNF,SERPIND1
Neurotrophin/TRK Signaling	5.45E-01	7.79E-02	0.816	PIK3R3,FOS,KLK3,KL,IRS1,IRS2
CCR5 Signaling in Macrophages	5.45E-01	7.37E-02	NaN	FOS,CACNB1,CACNA1E,CACNB4,CACNB3,CACNA2D4,PRKCG
GABA Receptor Signaling	5.45E-01	7.37E-02	NaN	CACNB1,CACNA1E,CACNB4,Ubb,CACNB3,UBC,CACNA2D4
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	5.45E-01	9.3E-02	NaN	IFNG,IL18,IL15,TNF
Glioma Signaling	5.39E-01	7.02E-02	0.000	CDKN2A,PIK3R3,E2F6,KL,IRS1,IGF1R,IRS2,PRKCG
HMGB1 Signaling	5.39E-01	6.77E-02	1.000	PIK3R3,IFNG,FOS,IL18,IL17C,KL,IRS1,IRS2,TNF
Leukocyte Extravasation Signaling	5.38E-01	6.16E-02	-0.277	CXCR4,PRKCG,PIK3R3,PTK2,ITGA3,KL,IRS1,IRS2,ACTG2,MMP9,ACTN1,TIMP2,ITK
Angiopoietin Signaling	5.38E-01	7.69E-02	NaN	PTK2,PIK3R3,NFKBID,KL,IRS1,IRS2
Neuropathic Pain Signaling In Dorsal Horn Neurons	5.38E-01	6.96E-02	0.000	PIK3R3,FOS,PLCE1,KL,IRS1,IRS2,PLCL1,PRKCG
P2Y Purigenic Receptor Signaling Pathway	5.38E-01	6.72E-02	-0.333	PIK3R3,FOS,ITGA2B,PLCE1,KL,IRS1,IRS2,PLCL1,PRKCG
CREB Signaling in Neurons	5.38E-01	6.13E-02	-0.378	PIK3R3,CACNB1,PLCE1,CACNA1E,KL,IRS1,CACNB4,GNAO1,IRS2,CACNB3,PLCL1,CACNA2D4,PRKCG
Induction of Apoptosis by HIV1	5.38E-01	8.2E-02	-0.447	NFKBID,TRADD,SLC25A13,CXCR4,TNF
Prostate Cancer Signaling	5.38E-01	7.22E-02	NaN	PIK3R3,NFKBID,KLK3,KL,IRS1,HSP90AA1,IRS2
Isoleucine Degradation I	5.38E-01	1.43E-01	NaN	BCAT1,ACAD8
Colanic Acid Building Blocks Biosynthesis	5.38E-01	1.43E-01	NaN	GALK1,MPI
γ-glutamyl Cycle	5.38E-01	1.43E-01	NaN	GGT1,ANPEP
ErbB Signaling	5.38E-01	7.14E-02	0.816	PIK3R3,FOS,KL,IRS1,IRS2,ERBB2,PRKCG
NADH Repair	5.38E-01	3.33E-01	NaN	NAXD
Coenzyme A Biosynthesis	5.38E-01	3.33E-01	NaN	PPCDC
1,25-dihydroxyvitamin D3 Biosynthesis	5.38E-01	3.33E-01	NaN	CYP2R1
Tetrahydrobiopterin Biosynthesis I	5.38E-01	3.33E-01	NaN	GCH1
D-glucuronate Degradation I	5.38E-01	3.33E-01	NaN	DCXR
Methionine Salvage II (Mammalian)	5.38E-01	3.33E-01	NaN	BHMT2
Hypusine Biosynthesis	5.38E-01	3.33E-01	NaN	DOHH
Tetrahydrobiopterin Biosynthesis II	5.38E-01	3.33E-01	NaN	GCH1
Gap Junction Signaling	5.38E-01	6.15E-02	NaN	PIK3R3,TUBB1,PLCE1,GUCY1A3,KL,TJP1,IRS1,IRS2,ACTG2,PLCL1,PRKCG,TUBB2B
Androgen Signaling	5.31E-01	6.57E-02	-2.449	TGFB1I1,CACNB1,CACNA1E,CACNB4,GNAO1,HSP90AA1,CACNB3,CACNA2D4,PRKCG
Glucocorticoid Receptor Signaling	5.27E-01	5.6E-02	NaN	IFNG,Hspa1b,HSPA1A/HSPA1B,SLPI,HSPA5,HSPA8,PIK3R3,IL1R2,FOS,NFKBID,VIPR1,DUSP1,KL,IRS1,ANXA1,HSP90AA1,IRS2,ESR1,TNF
IL-8 Signaling	5.21E-01	6.09E-02	-0.302	PTK2,VEGFA,PIK3R3,FOS,CDH1,KL,IRS1,IRS2,IRAK3,MMP9,PRKCG,CR2
IL-2 Signaling	5.12E-01	7.81E-02	1.342	PIK3R3,FOS,KL,IRS1,IRS2
Role of NFAT in Cardiac Hypertrophy	5.06E-01	5.94E-02	-1.941	PIK3R3,CACNB1,PLCE1,CACNA1E,KL,IRS1,CACNB4,IGF1R,IRS2,CACNB3,PLCL1,CACNA2D4,PRKCG
nNOS Signaling in Neurons	5.06E-01	8.51E-02	NaN	DLG2,PRKCG,PFKM,CAPN3
JAK/Stat Signaling	5.02E-01	7.23E-02	0.816	PIK3R3,SOCS3,FOS,KL,IRS1,IRS2
Renin-Angiotensin Signaling	4.86E-01	6.56E-02	0.707	PTK2,PIK3R3,FOS,KL,IRS1,IRS2,TNF,PRKCG
Extrinsic Prothrombin Activation Pathway	4.85E-01	1.25E-01	NaN	F5,TFPI
Adenosine Nucleotides Degradation II	4.85E-01	1.25E-01	NaN	NT5M,ADA
Role of Tissue Factor in Cancer	4.78E-01	6.5E-02	NaN	VEGFA,PIK3R3,BLK,ITGA3,KL,EGR1,IRS1,IRS2
SAPK/JNK Signaling	4.76E-01	6.73E-02	-0.816	PIK3R3,TRADD,MAP3K10,KL,MAP3K13,IRS1,IRS2
Human Embryonic Stem Cell Pluripotency	4.76E-01	6.29E-02	NaN	S1PR3,PIK3R3,S1PR5,KLK3,KL,IRS1,UTF1,ACVR1,IRS2
Lymphotoxin β Receptor Signaling	4.73E-01	7.46E-02	1.000	PIK3R3,NFKBID,KL,IRS1,IRS2
EGF Signaling	4.63E-01	7.35E-02	1.342	PIK3R3,FOS,KL,IRS1,IRS2
Airway Inflammation in Asthma	4.63E-01	2.5E-01	NaN	TNF
Arsenate Detoxification I (Glutaredoxin)	4.63E-01	2.5E-01	NaN	AS3MT
Proline Biosynthesis I	4.63E-01	2.5E-01	NaN	PYCR3
Chronic Myeloid Leukemia Signaling	4.63E-01	6.6E-02	NaN	CDKN2A,PIK3R3,GAB2,E2F6,KL,IRS1,IRS2
UVA-Induced MAPK Signaling	4.63E-01	6.6E-02	0.000	PIK3R3,FOS,PLCE1,KL,IRS1,IRS2,PLCL1
Colorectal Cancer Metastasis Signaling	4.56E-01	5.65E-02	0.277	Tlr11,IFNG,GRK3,TLR8,PIK3R3,VEGFA,FOS,CDH1,KL,IRS1,Tlr13,IRS2,TNF,MMP9
Role of IL-17A in Arthritis	4.56E-01	7.25E-02	NaN	PIK3R3,NFKBID,KL,IRS1,IRS2
ErbB2-ErbB3 Signaling	4.56E-01	7.25E-02	0.447	PIK3R3,KL,IRS1,IRS2,ERBB2
Remodeling of Epithelial Adherens Junctions	4.56E-01	7.25E-02	NaN	TUBB1,CDH1,ACTG2,ACTN1,TUBB2B
HER-2 Signaling in Breast Cancer	4.55E-01	6.82E-02	NaN	PIK3R3,KL,IRS1,IRS2,ERBB2,PRKCG
Inhibition of Angiogenesis by TSP1	4.46E-01	8.82E-02	NaN	VEGFA,GUCY1A3,MMP9
Role of JAK2 in Hormone-like Cytokine Signaling	4.46E-01	8.82E-02	NaN	SOCS3,IRS1,IRS2
Valine Degradation I	4.4E-01	1.11E-01	NaN	BCAT1,ACAD8
Protein Kinase A Signaling	4.37E-01	5.25E-02	-0.943	ENPP6,PTPN14,LIPE,PPP1R14A,DUSP22,PYGL,CNGA1,PTPRM,AKAP7,DUSP2,PRKCG,PTK2,NFKBID,DUSP5,PLCE1,DUSP1,CREM,RYR1,PLCL1,DUSP12,PDE6D
RAR Activation	4.35E-01	5.79E-02	NaN	VEGFA,PIK3R3,CSF2RB,FOS,DUSP1,PNRC1,RARB,RDH12,SORBS3,RDH5,PRKCG
Caveolar-mediated Endocytosis Signaling	4.35E-01	7.04E-02	NaN	ITGAD,ITGA3,ITGA2B,HLA-A,ACTG2
Coagulation System	4.34E-01	8.57E-02	NaN	F5,TFPI,SERPIND1
TWEAK Signaling	4.34E-01	8.57E-02	NaN	NFKBID,TRADD,TNFRSF25
IL-17A Signaling in Fibroblasts	4.34E-01	8.57E-02	NaN	NFKBID,FOS,NFKBIZ
Semaphorin Signaling in Neurons	4.32E-01	7.55E-02	NaN	PTK2,FES,PLXNB1,DPYSL5
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	4.3E-01	5.58E-02	NaN	IL1R2,PIK3R3,FOS,NFKBID,TRADD,IFNG,IL18,ITGA3,IL1RL2,KL,IRS1,IRS2,TNF
Amyotrophic Lateral Sclerosis Signaling	4.26E-01	6.31E-02	-1.633	VEGFA,PIK3R3,CACNA1E,KL,IRS1,IRS2,CAPN3
G-Protein Coupled Receptor Signaling	4.26E-01	5.43E-02	NaN	ENPP6,RGS2,CHRM4,CHRM3,PRKCG,PIK3R3,S1PR3,NFKBID,VIPR1,KL,DUSP1,IRS1,GNAO1,IRS2,PDE6D
Ubiquinol-10 Biosynthesis (Eukaryotic)	4.26E-01	1.05E-01	NaN	GADL1,MICAL3
Purine Nucleotides Degradation II (Aerobic)	4.26E-01	1.05E-01	NaN	NT5M,ADA
Role of Cytokines in Mediating Communication between Immune Cells	4.24E-01	7.41E-02	NaN	IFNG,IL18,IL15,TNF
GM-CSF Signaling	4.24E-01	6.85E-02	0.447	PIK3R3,CSF2RB,KL,IRS1,IRS2
Galactose Degradation I (Leloir Pathway)	4.24E-01	2E-01	NaN	GALK1
Tyrosine Degradation I	4.24E-01	2E-01	NaN	FAH
Acute Myeloid Leukemia Signaling	4.18E-01	6.45E-02	1.633	CSF3R,PIK3R3,CSF2RB,KL,IRS1,IRS2
AMPK Signaling	4.13E-01	5.56E-02	0.707	PIK3R3,KL,PFKFB4,IRS1,CHRM4,CHRNB1,LIPE,CHRNE,IRS2,MLST8,CHRM3,PFKM
Axonal Guidance Signaling	4.13E-01	5.09E-02	NaN	SEMA3E,TUBB1,FES,CXCR4,EPHA1,DPYSL5,PRKCG,TUBB2B,PIK3R3,VEGFA,PTK2,ITGA3,PLCE1,KL,IRS1,GNAO1,PLXNB1,ADAM23,ABLIM2,IRS2,ERBB2,PLCL1,MMP9
Complement System	4.12E-01	8.11E-02	NaN	C3,C6,CR2
G Beta Gamma Signaling	4.12E-01	6.14E-02	-2.646	CACNB1,CACNA1E,CACNB4,GNAO1,CACNB3,CACNA2D4,PRKCG
The Visual Cycle	4.12E-01	1E-01	NaN	RDH12,RDH5
Inflammasome pathway	4.12E-01	1E-01	NaN	IL18,NLRC4
Heparan Sulfate Biosynthesis (Late Stages)	4.07E-01	6.67E-02	NaN	CHST3,LIPE,NDST2,EXTL2,CHST15
Antiproliferative Role of Somatostatin Receptor 2	3.94E-01	6.58E-02	1.000	PIK3R3,GUCY1A3,KL,IRS1,IRS2
Sumoylation Pathway	3.92E-01	6.25E-02	1.342	FOS,CDH1,CBX4,SNCA,ISG20,RFC3
Rac Signaling	3.85E-01	5.98E-02	-0.378	PTK2,PIK3R3,ITGA3,KL,IRS1,SH3RF1,IRS2
PPARα/RXRα Activation	3.85E-01	5.56E-02	0.000	IL1R2,NFKBID,PLCE1,IL1RL2,HELZ2,IRS1,ACVR1,HSP90AA1,SLC27A1,PLCL1
Proline Biosynthesis II (from Arginine)	3.85E-01	1.67E-01	NaN	PYCR3
Arginine Degradation VI (Arginase 2 Pathway)	3.85E-01	1.67E-01	NaN	PYCR3
Glycerol Degradation I	3.85E-01	1.67E-01	NaN	GK5
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	3.85E-01	1.67E-01	NaN	PSTK
Rapoport-Luebering Glycolytic Shunt	3.85E-01	1.67E-01	NaN	PGAM2
GDP-mannose Biosynthesis	3.85E-01	1.67E-01	NaN	MPI
HIF1α Signaling	3.85E-01	5.93E-02	NaN	VEGFA,PIK3R3,KL,IRS1,HSP90AA1,IRS2,MMP9
IL-17A Signaling in Airway Cells	3.83E-01	6.41E-02	0.447	PIK3R3,NFKBID,KL,IRS1,IRS2
PTEN Signaling	3.79E-01	5.88E-02	2.449	PTK2,PIK3R3,ITGA3,MAGI1,IGF1R,CNKSR3,MCRS1
Polyamine Regulation in Colon Cancer	3.79E-01	9.09E-02	NaN	PPARG,ODC1
Fatty Acid α-oxidation	3.79E-01	9.09E-02	NaN	BCO2,ALDH3B1
Thyroid Cancer Signaling	3.79E-01	7.5E-02	NaN	PPARG,CDH1,KLK3
Thrombin Signaling	3.72E-01	5.39E-02	-1.265	PTK2,PIK3R3,PLCE1,F2RL3,KL,IRS1,GNAO1,IRS2,PLCL1,ARHGEF9,PRKCG
Glioblastoma Multiforme Signaling	3.71E-01	5.56E-02	0.000	CDKN2A,PIK3R3,E2F6,PLCE1,KL,IRS1,IGF1R,IRS2,PLCL1
Role of BRCA1 in DNA Damage Response	3.71E-01	6.25E-02	-1.000	IFNG,E2F6,FANCA,FANCL,RFC3
NGF Signaling	3.71E-01	5.79E-02	-0.378	PIK3R3,MAP3K15,MAP3K10,KL,MAP3K13,IRS1,IRS2
Role of PKR in Interferon Induction and Antiviral Response	3.71E-01	7.32E-02	NaN	NFKBID,IFNG,TNF
B Cell Activating Factor Signaling	3.71E-01	7.32E-02	NaN	NFKBID,FOS,TNFSF13B
tRNA Splicing	3.71E-01	7.32E-02	NaN	ENPP6,TSEN15,PDE6D
cAMP-mediated signaling	3.71E-01	5.29E-02	-2.714	S1PR3,ENPP6,RGS2,VIPR1,DUSP1,CHRM4,GNAO1,CREM,CNGA1,CHRM3,AKAP7,PDE6D
Cholecystokinin/Gastrin-mediated Signaling	3.71E-01	5.94E-02	0.000	PTK2,FOS,IL18,CREM,TNF,PRKCG
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	3.71E-01	8.7E-02	NaN	IFNG,Ifnz (includes others)
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	3.71E-01	8.7E-02	NaN	IFNG,TNF
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	3.71E-01	8.7E-02	NaN	NME3,NME6
Dopamine-DARPP32 Feedback in cAMP Signaling	3.71E-01	5.49E-02	-1.414	PLCE1,CACNA1E,GUCY1A3,KCNJ10,CAMKK1,CREM,PPP1R14A,PLCL1,PRKCG
Natural Killer Cell Signaling	3.71E-01	5.74E-02	NaN	PIK3R3,KL,IRS1,Klra7 (includes others),IRS2,FCGR3A/FCGR3B,PRKCG
Macropinocytosis Signaling	3.71E-01	6.17E-02	0.447	PIK3R3,KL,IRS1,IRS2,PRKCG
Phosphatidylcholine Biosynthesis I	3.66E-01	1.43E-01	NaN	PHKA1
NAD Salvage Pathway III	3.66E-01	1.43E-01	NaN	Nmnat3
Adenine and Adenosine Salvage III	3.66E-01	1.43E-01	NaN	ADA
Heparan Sulfate Biosynthesis	3.64E-01	6.1E-02	NaN	CHST3,LIPE,NDST2,EXTL2,CHST15
RhoA Signaling	3.6E-01	5.65E-02	-1.342	PTK2,RTKN,EPHA1,SEPT10,IGF1R,ACTG2,SEPT2
Tumoricidal Function of Hepatic Natural Killer Cells	3.6E-01	8.33E-02	NaN	ENDOG,SERPINB9
Glutathione Redox Reactions I	3.6E-01	8.33E-02	NaN	GSTT2/GSTT2B,MGST2
Cdc42 Signaling	3.57E-01	5.39E-02	NaN	EXOC1,FOS,ITGA3,HLA-A,H2-Eb2,HLA-DMB,HLA-DOB,HLA-F,ITK
Activation of IRF by Cytosolic Pattern Recognition Receptors	3.57E-01	6.35E-02	0.000	NFKBID,CD40,ZBP1,TNF
CNTF Signaling	3.57E-01	6.35E-02	1.000	PIK3R3,KL,IRS1,IRS2
Regulation of the Epithelial-Mesenchymal Transition Pathway	3.57E-01	5.29E-02	NaN	PIK3R3,NOTCH4,CDH1,KL,APH1A,EGR1,IRS1,IRS2,JAG1,MMP9
Osteoarthritis Pathway	3.47E-01	5.19E-02	-0.632	PPARG,IL1R2,S1PR3,VEGFA,ITGA3,IL1RL2,COL10A1,NAMPT,JAG1,TNF,MMP9
IL-17A Signaling in Gastric Cells	3.44E-01	8E-02	NaN	FOS,TNF
Phagosome Maturation	3.44E-01	5.41E-02	NaN	TUBB1,TUBE1,HLA-A,RAB7B,VPS37B,ATP6V0D2,DYNLT1,TUBB2B
Purine Ribonucleosides Degradation to Ribose-1-phosphate	3.37E-01	1.25E-01	NaN	ADA
Cardiac Hypertrophy Signaling	3.37E-01	5.08E-02	-1.508	PIK3R3,MAP3K15,MAP3K10,PLCE1,CACNA1E,KL,MAP3K13,IRS1,GNAO1,IGF1R,IRS2,PLCL1
Pyrimidine Ribonucleotides Interconversion	3.35E-01	6.67E-02	NaN	NME3,ANXA1,NME6
FLT3 Signaling in Hematopoietic Progenitor Cells	3.34E-01	5.81E-02	0.447	PIK3R3,GAB2,KL,IRS1,IRS2
Wnt/β-catenin Signaling	3.34E-01	5.23E-02	NaN	CDKN2A,CDH1,RARB,GNAO1,ACVR1,TLE1,Ubb,KREMEN2,UBC
Estrogen-mediated S-phase Entry	3.34E-01	7.69E-02	NaN	E2F6,ESR1
NAD Salvage Pathway II	3.34E-01	7.69E-02	NaN	NT5M,Nmnat3
Glycolysis I	3.34E-01	7.69E-02	NaN	PGAM2,PFKM
Dermatan Sulfate Biosynthesis (Late Stages)	3.27E-01	6.52E-02	NaN	CHST3,NDST2,CHST15
Oxidative Phosphorylation	3.22E-01	5.5E-02	NaN	MT-CO1,MT-ATP6,MT-CYB,COX6B2,MT-CO2,COX6A2
Neuregulin Signaling	3.22E-01	5.68E-02	NaN	PIK3R3,ITGA3,HSP90AA1,ERBB2,PRKCG
Bladder Cancer Signaling	3.22E-01	5.68E-02	NaN	CDKN2A,VEGFA,CDH1,ERBB2,MMP9
Gustation Pathway	3.18E-01	5.23E-02	NaN	ENPP6,CACNB1,CACNA1E,PKD1L3,CACNB4,CACNB3,CACNA2D4,PDE6D
Pyrimidine Ribonucleotides De Novo Biosynthesis	3.18E-01	6.38E-02	NaN	NME3,ANXA1,NME6
Sphingosine and Sphingosine-1-phosphate Metabolism	3.16E-01	1.11E-01	NaN	SGPP2
Sucrose Degradation V (Mammalian)	3.16E-01	1.11E-01	NaN	TKFC
Leucine Degradation I	3.16E-01	1.11E-01	NaN	BCAT1
Protein Ubiquitination Pathway	3.14E-01	4.91E-02	NaN	IFNG,HLA-A,HSPA1A/HSPA1B,Ubb,DNAJB2,HSPA5,HSPA8,DNAJC28,DNAJB7,HSP90AA1,USP46,UBC,DNAJC30
Telomerase Signaling	3.14E-01	5.41E-02	1.633	PIK3R3,ETS2,KL,IRS1,HSP90AA1,IRS2
Clathrin-mediated Endocytosis Signaling	3.12E-01	5.03E-02	NaN	VEGFA,HSPA8,PIK3R3,KL,IRS1,AMPH,Ubb,IRS2,ACTG2,UBC
PDGF Signaling	3.12E-01	5.56E-02	1.342	PIK3R3,FOS,KL,IRS1,IRS2
Agrin Interactions at Neuromuscular Junction	3.12E-01	5.8E-02	-2.000	PTK2,ITGA3,ACTG2,ERBB2
IL-15 Production	3.12E-01	7.14E-02	NaN	PTK2,IL15
Chondroitin Sulfate Biosynthesis (Late Stages)	3.01E-01	6.12E-02	NaN	CHST3,NDST2,CHST15
Glycine Betaine Degradation	2.92E-01	1E-01	NaN	BHMT2
Chemokine Signaling	2.92E-01	5.63E-02	0.000	PTK2,CCR3,FOS,CXCR4
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	2.9E-01	5.38E-02	-2.236	PIK3R3,GAB2,ACTG2,FCGR3A/FCGR3B,PRKCG
Death Receptor Signaling	2.9E-01	5.38E-02	-1.342	NFKBID,TRADD,TNFRSF25,ACTG2,TNF
Melatonin Signaling	2.84E-01	5.56E-02	-2.000	PLCE1,GNAO1,PLCL1,PRKCG
Breast Cancer Regulation by Stathmin1	2.83E-01	4.88E-02	NaN	PIK3R3,TUBB1,E2F6,KL,IRS1,PPP1R14A,IRS2,ARHGEF9,PRKCG,TUBB2B
Gαq Signaling	2.79E-01	4.97E-02	-0.378	PIK3R3,NFKBID,RGS2,KL,IRS1,IRS2,CHRM3,PRKCG
Calcium Signaling	2.79E-01	4.85E-02	-3.162	RAP2B,CACNB1,CACNA1E,CHRNB1,CAMKK1,CACNB4,RYR1,CHRNE,CACNB3,CACNA2D4
Salvage Pathways of Pyrimidine Ribonucleotides	2.76E-01	5.26E-02	NaN	PYCR3,NME3,DMPK,APOBEC2,NME6
Mineralocorticoid Biosynthesis	2.7E-01	9.09E-02	NaN	Cyp2d22
Insulin Receptor Signaling	2.65E-01	4.96E-02	0.378	PIK3R3,SOCS3,KL,IRS1,LIPE,PPP1R14A,IRS2
Neuroprotective Role of THOP1 in Alzheimer's Disease	2.64E-01	5.04E-02	NaN	IFNG,KLK3,HLA-A,PRSS53,HLA-F,MMP9
Phototransduction Pathway	2.63E-01	5.66E-02	NaN	GUCY1A3,CNGA1,PDE6D
Molecular Mechanisms of Cancer	2.57E-01	4.57E-02	NaN	RAP2B,CDKN2A,GAB2,CDK14,PRKCG,PIK3R3,PTK2,FOS,E2F6,NFKBID,CDH1,ITGA3,KL,IRS1,APH1A,GNAO1,IRS2,ARHGEF9
TR/RXR Activation	2.56E-01	5.1E-02	NaN	PIK3R3,KL,IRS1,SLC16A2,IRS2
Ovarian Cancer Signaling	2.53E-01	4.86E-02	1.134	CDKN2A,VEGFA,PIK3R3,KL,IRS1,IRS2,MMP9
Hematopoiesis from Multipotent Stem Cells	2.53E-01	8.33E-02	NaN	IL15
Guanosine Nucleotides Degradation III	2.53E-01	8.33E-02	NaN	NT5M
Pregnenolone Biosynthesis	2.53E-01	8.33E-02	NaN	MICAL3
fMLP Signaling in Neutrophils	2.41E-01	4.88E-02	0.000	PIK3R3,NFKBID,KL,IRS1,IRS2,PRKCG
Circadian Rhythm Signaling	2.41E-01	5.88E-02	NaN	PER1,BHLHE40
Retinoate Biosynthesis I	2.41E-01	5.88E-02	NaN	RDH12,RDH5
Fatty Acid Activation	2.41E-01	7.69E-02	NaN	SLC27A1
Choline Biosynthesis III	2.41E-01	7.69E-02	NaN	PHKA1
Oleate Biosynthesis II (Animals)	2.41E-01	7.69E-02	NaN	SCD
Cholesterol Biosynthesis I	2.41E-01	7.69E-02	NaN	SC5D
Urate Biosynthesis/Inosine 5'-phosphate Degradation	2.41E-01	7.69E-02	NaN	NT5M
Glycogen Degradation II	2.41E-01	7.69E-02	NaN	PYGL
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	2.41E-01	7.69E-02	NaN	SC5D
Cholesterol Biosynthesis III (via Desmosterol)	2.41E-01	7.69E-02	NaN	SC5D
Mitochondrial Dysfunction	2.4E-01	4.68E-02	NaN	MT-CO1,MT-ATP6,MT-CYB,COX6B2,APH1A,MT-CO2,SNCA,COX6A2
Chondroitin Sulfate Biosynthesis	2.39E-01	5.26E-02	NaN	CHST3,NDST2,CHST15
Phospholipase C Signaling	2.38E-01	4.56E-02	-2.714	BLNK,PLA2G4A,ITGA3,PLCE1,PLA2G2D,PLA2G4B,PPP1R14A,CD79A,ARHGEF9,PRKCG,ITK
Interferon Signaling	2.24E-01	5.56E-02	NaN	IFNG,OAS1
DNA Double-Strand Break Repair by Homologous Recombination	2.24E-01	7.14E-02	NaN	GEN1
Androgen Biosynthesis	2.24E-01	7.14E-02	NaN	CYP17A1
Dermatan Sulfate Biosynthesis	2.24E-01	5.08E-02	NaN	CHST3,NDST2,CHST15
Mouse Embryonic Stem Cell Pluripotency	2.18E-01	4.72E-02	0.447	PIK3R3,KL,IRS1,IRS2,ID3
Dopamine Degradation	2.16E-01	5.41E-02	NaN	Sult1a1,ALDH3B1
RhoGDI Signaling	2.14E-01	4.52E-02	1.890	CDH1,ITGA3,GNAO1,CDH23,CDH17,ACTG2,ESR1,ARHGEF9
Glycogen Degradation III	2.1E-01	6.67E-02	NaN	PYGL
Histidine Degradation VI	2.1E-01	6.67E-02	NaN	MICAL3
Granulocyte Adhesion and Diapedesis	2.06E-01	4.47E-02	NaN	IL1R2,CSF3R,ITGA3,IL18,IL1RL2,CXCR4,TNF,MMP9
IL-17 Signaling	2.06E-01	4.71E-02	NaN	PIK3R3,KL,IRS1,IRS2
Retinoic acid Mediated Apoptosis Signaling	2.04E-01	4.84E-02	NaN	IFNG,RARB,Ifnz (includes others)
Regulation of eIF4 and p70S6K Signaling	2.04E-01	4.46E-02	0.447	PIK3R3,ITGA3,KL,IRS1,IRS2,AGO4,RPSA
April Mediated Signaling	2.04E-01	5.13E-02	NaN	NFKBID,FOS
tRNA Charging	2.04E-01	5.13E-02	NaN	MARS2,CARS2
Inhibition of Matrix Metalloproteases	2.04E-01	5.13E-02	NaN	MMP9,TIMP2
Gαs Signaling	2.04E-01	4.55E-02	-2.000	RGS2,VIPR1,RYR1,CNGA1,CHRM3
Granzyme B Signaling	2.04E-01	6.25E-02	NaN	ENDOG
Mismatch Repair in Eukaryotes	2.04E-01	6.25E-02	NaN	RFC3
Parkinson's Signaling	2.04E-01	6.25E-02	NaN	SNCA
Wnt/Ca+ pathway	2.04E-01	4.76E-02	NaN	PLCE1,PLCL1,PDE6D
HIPPO signaling	2.04E-01	4.6E-02	NaN	WWC1,DLG2,PPP1R14A,TEAD2
TGF-β Signaling	2.04E-01	4.6E-02	0.000	FOS,ACVR1,TGIF1,PMEPA1
γ-linolenate Biosynthesis II (Animals)	1.92E-01	5.88E-02	NaN	SLC27A1
Mitochondrial L-carnitine Shuttle Pathway	1.92E-01	5.88E-02	NaN	SLC27A1
Mechanisms of Viral Exit from Host Cells	1.92E-01	4.88E-02	NaN	ACTG2,PRKCG
Apoptosis Signaling	1.86E-01	4.44E-02	0.000	ENDOG,NFKBID,TNF,CAPN3
Mitotic Roles of Polo-Like Kinase	1.86E-01	4.55E-02	NaN	PLK3,PLK2,HSP90AA1
