© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
EIF2AK3	-1.905	kinase	Inhibited	-2.972	8.96E-04	ABCF2,APAF1,ASNS,ATF3,ATF6,ATG5,BIRC2,BTG2,CEBPG,CPOX,CYB5R1,DNAJC3,EGR1,ELP3,ERO1A,ETS2,GCH1,HERPUD1,HSPA5,HSPA9,IARS,KLF4,LARS,LONP1,MTHFR,NARS,NDRG1,NFIL3,PPP1R15A,SEL1L,TBPL1,VEGFA,WARS,ZFP36	1136 (13)	
GRP	 	growth factor	Inhibited	-2.153	3.48E-02	CCNE1,CDKN1B,ELK1,FOS,FOSB,PTGS2,RRM1,RRM2,VEGFA	 	
STAT3	-6.652	transcription regulator	Inhibited	-3.278	2.33E-03	AHR,AKT1,APEX1,BCL2L11,BCL6,CASP1,CASP3,CASP7,CAT,CCNC,CCND2,CCNE1,CCR5,CD274,CD74,CD9,CDKN1A,CDKN1B,CDKN2D,CDON,CMPK2,CREB1,CTLA4,CTSB,CXCL3,CXCR4,ECT2,EGR1,EIF2AK2,FASLG,FFAR2,FOS,FSCN1,GATA3,GBP3,GPR65,HERC6,HIST2H2AA3/HIST2H2AA4,HK2,HLA-A,HLA-DQA1,HMOX1,IFI16,IFIT1,IFIT2,IFIT3,IFNG,IKBKE,IL10,IL12RB1,IL18R1,IL21,IL4R,IRF4,IRF5,IRF7,Irgm1,ISG15,ISG20,ITGAM,ITGAV,JAK2,JUNB,KAT2B,KLF4,LDHB,LIF,LYZ,MITF,MT-ATP6,mt-Atp8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,Mx1/Mx2,NAMPT,NDRG1,NFKBIZ,NR4A2,NRP1,OAS1,PAX5,PAX6,PIM1,PIM2,PLSCR1,POLE4,POU2F1,PRF1,PSMB5,PSMB8,PSMB9,PTGS2,PTPN6,RORA,S1PR1,Serpina3g (includes others),SERPINB9,SGK1,SLAMF1,SLC28A2,SLC2A1,SLC39A10,Slfn1,SLFN13,Slfn2,SLFN5,SOCS3,SREBF1,STAT2,STAT3,TBX21,TCF4,TERT,TFDP1,TGFB1,Tgtp1/Tgtp2,THBS1,TNFRSF1B,TNFSF10,USP18,VEGFA,WARS,XAF1,ZFP36	1069 (21)	
E2F1	-13.206	transcription regulator	Inhibited	-6.977	1.72E-13	ACTR3,ADIPOR2,AKT1,ALG5,APAF1,ATG12,ATG14,ATG4B,ATG7,ATM,AURKA,BAX,BCL2L11,BID,BRCA1,BUB3,Calm1 (includes others),CASP3,CASP7,CCNA2,CCND2,CCNE1,CCNE2,CCT4,CD2AP,CD9,CDC20,CDC45,CDK4,CDKN1A,CDKN1B,CDKN2D,CKB,CLIC1,COX4I1,Cox7c,CRKL,CTSB,CWC27,CYB5A,DBF4,DDX11,DDX39B,DUSP1,DUT,E2F2,E2F3,ECT2,EGR1,EI24,EIF2AK2,EXOSC9,EZH2,FKBP3,FOS,GABARAP,GM2A,GRAP,HADHA,HELLS,HIST1H2AB,HIST1H2AC,HIST1H2AE,HIST1H4H,HIST2H2AA3/HIST2H2AA4,HLTF,Hmgn2 (includes others),HNRNPR,Hspa1b,HSPA8,HSPD1,IDH3A,IFNG,IGF2,ILK,IRS2,JMY,JPT1,KIF23,KRAS,LACTB,MCM3,MCM4,MDH1,MDM2,MFAP1,MLH1,MSH2,MTBP,MYBL2,NCOA3,NDUFC1,NEDD8,NFKBIB,NRP1,NUSAP1,OGT,ORC1,PA2G4,PDCD5,PDK1,PHF21B,PIK3R1,PIN1,PKNOX1,PLK2,Pmaip1,PMPCB,POLA1,POLA2,POLD1,PPP1R13B,PPT2,PRIM2,PRKDC,PRPS2,PSAT1,PSMB9,RAD51,RAD52,RAN,RBBP4,RBFOX2,REV3L,RFC4,RFC5,RHOBTB2,RHOQ,RPA2,RPA3,RPS16,RRM1,RRM2,RRP1B,SDHA,SINHCAF,SLC3A2,SMARCA5,SRPRA,STAM,STK17B,TERT,TGFB1,THBS1,TK1,TOPBP1,TP53BP2,TXNL1,UCHL5,UCK2,UGDH,UHRF1,UHRF2,UMPS,UNG,VEGFA,VEGFB,VRK1,WEE1,ZFP36,ZNF672	1025 (17)	
Ins1	 	other	Inhibited	-2.825	4.56E-02	Abcb1b,ACADM,ACTB,ADIPOR2,AKT1,ALAS1,AP2M1,APAF1,AQP7,BDH1,BPGM,CCNE1,CDKN1A,CDKN1B,CRAT,CREB1,CYB5A,DGAT2,ECI1,EGR1,EHHADH,ERCC1,ERP29,FADS1,FOS,G6PD,GATA3,GDI2,GNPAT,GSTP1,HK2,HMGCR,HMGCS1,HSD17B4,IDE,IGF2,IL10,IMPDH2,IRS2,ITCH,IVD,JUNB,LDHB,LDLR,LRP1,MIF,NDUFB9,NDUFS4,NR1H3,ODC1,PER1,PIK3R1,PIKFYVE,PTEN,PTGS2,RBL2,RHOA,RPS14,RPS6KB1,RRM1,RRM2,RXRA,SLC28A2,SLC2A1,SOCS3,SP3,SREBF1,STAT3,TBX21,TK1,UMPS,VEGFA	 	
ITGB2	-3.609	transmembrane receptor	Inhibited	-2.191	2.02E-01	CD69,CXCL3,GADD45B,GATA3,ICOSLG/LOC102723996,IFNG,PTGS2,RHOA,TBX21,TGFB1,VEGFA	 	
SCAP	-1173.668	other	Inhibited	-4.407	1.11E-03	ACAA2,ACLY,ACSL1,ACSS2,CYB5A,CYP51A1,EHHADH,FDPS,GPAM,HMGCR,IDI1,INSIG1,LDLR,MSMO1,MVD,MVK,PMVK,RDH11,SC5D,SREBF1	439 (4)	
STAT1	-9.633	transcription regulator	Inhibited	-7.587	1.19E-02	ABCA1,ABCB9,APOBEC3B,B2M,BAX,BCL2L11,BCL6,BTG1,CAND2,CASP1,CASP2,CASP3,CBFA2T3,CCND2,CCNE1,CCR7,CD274,CDKN1A,CDKN1B,CMPK2,CREM,CTSS,CXCL3,CYSLTR2,DDX60,EGR1,EIF2AK2,FASLG,FCGR2B,FOS,GATA3,GBP3,HERC6,HLA-DQA1,IFI16,Ifi47,IFIT1,IFIT2,IFIT3,IFNG,IL10,IL12RB2,IL21,IRF2,IRF5,IRF7,IRF8,Irgm1,ISG15,JAK2,KLF4,LY6E,MDM2,Mx1/Mx2,OAS1,PARP9,PAX6,PIM1,PRF1,PSMB8,PSMB9,PTGS2,RTP4,S100A10,SAMD9L,Serpina3g (includes others),Slfn1,SLFN13,Slfn2,SLFN5,SOCS3,SREBF1,STAT2,STAT3,TAPBPL,TBX21,Tgtp1/Tgtp2,TNFSF10,TP53BP2,USP18,WARS,XAF1,ZNF652	 	
PI3K (family)	 	group	Inhibited	-2.234	3.38E-02	ABCA1,ATG12,ATG7,BCL2L11,CAT,CCNG2,CD274,CDKN1B,CXCR4,DDIT4,FOS,FOXO4,GCLC,HMOX1,HSPA5,IFIT1,IL10,ISG15,NFE2L2,PTEN,PTGS2,SIAH1,SKIL,SLC2A1,SREBF1,TJP1,TNFSF10,VEGFA	 	
PFDN5	-10.228	transcription regulator	Inhibited	-2.000	1.41E-02	BAX,PFDN1,PFDN4,VBP1	 	
CSF1	-228.999	cytokine	Inhibited	-5.228	7.74E-04	Acp5,ADGRE5,BAX,BCL2L11,CCND2,CCNE1,CCR5,CD68,CDK4,CDKN1A,CREB1,CSF1R,CXCL3,DUSP1,DUSP5,EGR1,ETS2,ETV3,F2RL1,F2RL2,FASLG,FCGR2A,FOS,GLS,GOT2,HK2,HSPA5,IFNG,Iigp1,IKBKE,IL10,IRF4,IRF5,IRF7,ITGAM,ITGAV,JUNB,NKIRAS1,PFKFB3,PTPRC,PTPRJ,RHOA,RIPK1,SIGLEC1,SLC29A1,SLC2A1,STX12,STX3,STX6,THBS1,TLR1,TNFAIP3,TNFRSF1B,VEGFA	1070 (17)	
SIRT2	-141.493	transcription regulator	Inhibited	-2.828	1.73E-02	CDKN1B,FNTA,HMGCR,IDI1,MVD,MVK,PMVK,SC5D	 	
EPAS1	-1.667	transcription regulator	Inhibited	-3.252	5.38E-03	ABCF2,ABI1,AKAP12,ATG5,BHLHE40,Calm1 (includes others),CAT,CCR5,CDKN1A,CHKA,CKB,CXCR4,CXorf40A/CXorf40B,CYP51A1,DECR2,DMXL1,DUSP7,FOS,GADD45B,GLS,HIST1H1C,HIST1H2AC,HMGCS1,HSPA4,HSPA5,IRS2,ITGAV,KDM3A,LDLR,MAFF,MANF,MIF,NAMPT,NDRG1,NDUFB6,NFIL3,NRARP,OMA1,PAN2,PELP1,PFKFB3,PIK3CA,RASSF1,SCAP,SLC11A2,SLC29A1,SLC2A1,SREBF1,TAF9B,TERT,TNFAIP3,UGP2,UNG,VEGFA	728 (7)	
REL	-33.469	transcription regulator	Inhibited	-6.795	3.45E-06	ACSS2,AGA,AGPS,AHR,AP5Z1,APLF,ARHGEF11,B2M,BARD1,BRCA1,CAMK2D,CCND2,CCNY,CCR8,CDKN1A,CMPK1,COPS4,CREM,CRKL,DDX11,DUT,E2F3,EVI5,EXOSC1,EZH2,FOS,FRMD4B,GADD45B,H2AFJ,HLA-A,IER3,IFNG,Iigp1,IL21,IRF4,IRF5,IRF8,MAFG,MAPKBP1,MED12L,MINPP1,NAB2,NFE2L2,NFKBID,NR4A1,NR4A3,NRARP,PARP14,PDCD1,PHF14,PHIP,PIBF1,PIK3CA,PLA2G16,PLK2,POLB,PPP1R15A,PYCARD,RAB40C,REL,SLC35A3,SPIN1,STAT3,TBCA,TLK2,TNFAIP3,TNFRSF13C,TNFSF10,TTK,TTLL1,UBE2Z,UBXN2B,VTI1A,ZHX3	876 (12)	
USF1	3.177	transcription regulator	Inhibited	-3.067	3.10E-02	ABCA1,AKAP12,B2M,BAX,BRCA2,CAD,CAT,CCNG2,CDK4,CTSS,DUSP1,GATA3,GPAM,LDLR,MS4A1,MYH9,PIGR,PTGS2,SPP1,TERT,TGFB1,TNFAIP3	 	
PRL	 	cytokine	Inhibited	-5.667	2.74E-02	ACTB,ACTR3,ANXA5,B2M,BCL6,CD69,CDK4,CDKN1A,CMPK2,COX4I1,CTSA,CTSB,CTSS,DDX39B,EGR1,EIF2AK2,ELOC,FOS,GNA12,GSTM1,HELZ2,HERC6,HERPUD1,HSPD1,IDE,IFIT1,IFIT3,IGF2,IRF7,ISG15,ITGA1,JAK2,LAMC1,LY6E,MAFG,MARS,MFGE8,MLKL,N4BP1,OAS1,ODC1,PARP12,PARP14,PDK2,PIM1,PLSCR1,PNPT1,PPM1K,PTPN18,RPSA,SAMD9L,SHISA5,SOCS3,SPP1,STAT2,TDRD7,TECR,TGFB1,Tmsb4x (includes others),TPM3,TUBA1B,USP18,XAF1,XDH,YWHAG	 	
IRF8	-1045.154	transcription regulator	Inhibited	-2.574	6.19E-03	ASAH1,ATF3,ATF7,B2M,BAX,BCL6,CASP3,CCR7,CD74,CDKN1A,CREM,CSF1R,CTSS,CYBB,EGR1,ETV3,FOS,IFIT2,IFIT3,IFNG,IRF4,IRF5,IRF8,ISG15,ITGAM,KLF4,KLF6,LIF,MDM2,MS4A1,NF1,OAS1,PCDH7,Pmaip1,STAT2,TERT,TK1,ZFHX3	758 (12)	
STAT4	-92.401	transcription regulator	Inhibited	-7.783	3.42E-08	ACSS1,ADSS,AP2A2,ARHGAP15,ARL5B,ASPH,ATG12,ATP7A,BCL2L11,CCNI,CCR5,CDKN1B,CIR1,Ctla2a/Ctla2b,CXCL3,DAPK2,ERO1A,FBXL12,FDX1,FSCN1,GAS5,GATA3,GTF2E2,H3F3A/H3F3B,HCFC2,HEXB,HIST2H2AA3/HIST2H2AA4,HLA-DQB1,Hspa1b,IER3,IFIT2,IFNG,IL10,IL12RB1,IL12RB2,IL18R1,INSL3,INTS12,IRF4,ISG15,ISG20,KDELR2,KDM6B,KLF9,LAMTOR3,LRP1,MAP3K1,MATK,Ms4a4b (includes others),MTHFS,Mx1/Mx2,NDRG1,NXN,PBX4,PCGF5,PDK1,PER1,PEX13,PYGL,RASSF1,RCN3,RNF128,RNF130,RORA,SERTAD1,SMURF2,SOCS3,SUPT3H,TAF15,TBX21,TMEM167B,TPD52,Trim30a/Trim30d,TSPAN5,VAMP4,VEGFA,ZNF394	1017 (16)	
MKNK1	1.825	kinase	Inhibited	-4.700	7.39E-04	ANXA5,CPLX2,CRMP1,DPYSL3,EEF1D,EPB41L2,FAM49A,FLNB,FOS,FOSB,GNAQ,GPS1,HADHA,HSD17B4,IFIT2,IFRD1,ISG15,LAMC1,MAN2A1,MAP1B,MYO5A,NR4A3,PDLIM5,PLXNB2,RAB14,RNH1,STRN4,TFDP1,TM9SF2,TPP1,TTC3,YWHAG,ZCCHC18	 	
JAK1	-2.027	kinase	Inhibited	-2.164	3.82E-02	BCL2L11,BID,CDKN1A,CDKN1B,EIF2AK2,FOS,HLA-A,HLA-F,IFIT2,IL10,IL4R,IRF7,Oasl2,PSMB9,SOCS3,STAT2,USP18	 	
CDK9	-2.617	kinase	Inhibited	-2.353	1.11E-03	ALAS1,ANKRD37,CAD,CCND2,CDKN1A,CXCR4,FOS,FRAT2,G6PD,HIST1H2AC,HLA-DQA1,HNRNPH1,MYBL2,NMD3,ODC1,RAD1,TERT,Tmsb4x (includes others),TNFAIP3,UHMK1	792 (10)	
TLR4	-9.488	transmembrane receptor	Inhibited	-5.254	2.47E-02	APOBEC3B,ATF3,ATF6,ATM,BAMBI,BAX,BBX,BCL10,CASP7,CAST,CCND2,CCR5,CCR7,CD200R1,CD274,CD38,CERK,CERS2,CERS6,CMPK2,COX4I1,CXCL3,DUSP2,FASLG,FCGR2B,GRK2,HELZ2,HMOX1,HSPA5,IDH2,IFI16,Ifi47,IFIT2,IFIT3,IFNG,Iigp1,IL10,IRF2,IRF7,IRF8,IRGM,Irgm1,ISG15,ISG20,ITGAM,MCOLN2,METTL1,MIF,MT-ND6,Mx1/Mx2,NFKBID,NFKBIZ,NR4A1,NR4A2,NR4A3,NSMAF,ORMDL1,PAK1,PELI1,PLK2,PTGS2,REL,RGS1,RGS14,RIPK2,RXRA,SAP30,SELP,SIGIRR,SIRT3,SLC7A11,SMPD1,SOCS3,SPP1,SPTLC1,SPTLC2,STAT2,STAT3,TCF4,TFRC,TGFB1,TNFAIP3,TNFSF10,TSPO,UGCG,ZC3H12A	 	
HIF1A	-5.415	transcription regulator	Inhibited	-6.179	5.93E-03	ABCF2,ADAM10,ADAM17,ADAMTS1,AKAP12,AKT1,ALDOA,ALOX5AP,ANKRD37,ANKZF1,ASNS,ATG9A,ATP5J,ATP7A,AURKA,BHLHE40,BID,BIRC2,BRCA1,CABIN1,CCNT1,CCR5,CCR7,CD274,CDKN1A,CDKN1B,CHKA,CTPS1,CXCL3,CXCR4,CXorf40A/CXorf40B,CYB5A,DDIT4,E2F3,EIF4E,ERGIC1,ERO1A,FOS,FSCN1,GADD45B,HDAC3,HIST1H1C,HIST1H2AC,HIST2H4B,HK2,HMGCL,HMOX1,HSPA4,HSPA5,IFNG,IGF2,IL10,IRS2,ITGA1,ITGAV,KDM3A,MAFF,MANF,MEF2C,METTL23,MIF,MITF,MT-CO3,MT-ND1,NAE1,NDRG1,NR4A1,NR4A3,NRARP,NT5E,PDK1,PELP1,PFKFB3,PGK1,PIM2,POLG,PTGS2,RAB20,RASSF1,SESN2,SIRT2,SLC29A1,SLC2A1,SOCS3,SPOP,SSBP1,STAT3,TAF9B,TCF4,TERC,TERT,TFRC,TGFB1,THBS1,TP53RK,VEGFA,ZNF267	956 (15)	
IL5	 	cytokine	Inhibited	-7.227	1.21E-02	ACAA2,ALDOA,ANXA6,ASNS,ATP1B1,BCL6,BIRC2,CCND2,CCNE1,CCR5,CCR7,CD55,CD69,CDKN1A,CHMP1A,CHST12,CRELD2,CRIP1,CXCR4,DUSP5,EGR1,ERO1A,FCGR2B,FOSL2,GBP7,GPAM,HIGD1A,HMGCR,HMMR,HSPA5,HSPH1,IDI1,IER3,IFNG,IL3RA,IL4R,IRF7,ITGAM,ITGAV,MANF,MAT2A,MYADM,NABP1,NACA,NDRG1,NFIL3,PAX5,PDK1,PGM1,PIM1,PPIF,PSAT1,PTPRC,QSOX1,RHOH,RPN1,S100A6,SAP30,Serpina3g (includes others),SGK1,SLC2A1,SRI,TGFB1,TLR1,TMF1,TNFRSF9,UCHL3,UCK2,YES1	 	
MAPK8	-6306.223	kinase	Inhibited	-3.995	4.31E-02	ABCA1,AKT1,ATG5,ATG7,BCL2L11,BRF1,BTRC,CAT,CCNA2,CDKN1A,CDKN1B,CYBB,DGAT1,DUSP1,EGR1,ELK1,FASLG,FOS,FOSL2,FOXO4,GSTM1,HDAC6,HMOX1,IFNG,IL10,KLF6,LIF,MAP3K9,MIF,MTHFR,MVP,NRP1,PTEN,PTGS2,SESN2,SH2D2A,TBP,TBX21,TNFAIP3,ZFP36	 	
IL3	 	cytokine	Inhibited	-4.959	3.78E-06	ACOX1,ADGRE5,ALOX5AP,BCL2L11,BTG2,Calm1 (includes others),CAMKK2,CASP3,CAT,CCND2,CCT5,CD247,CD3D,CD3G,CD48,CD69,CDKN1A,CDKN1B,CEBPG,CIAPIN1,COPS4,CRAT,CREM,CSF1R,CTLA4,CXCR4,EEF1A1,EGR1,EIF1AX,EIF2AK2,EMP3,FCGR2A,FCGR2B,FKBP3,FOS,FOSL2,GADD45B,GART,GZMA,HK2,HLA-A,HSPA5,HSPA9,HUS1,IL3RA,IMPDH2,ITGAM,ITGAV,JUNB,KLF9,LIF,LY75,MDM2,MYO1C,NACA,NARS,NCF1,NFATC3,NIFK,NRP1,ODC1,PDE1B,PIM1,PIM2,PLCB2,PTPN22,RALA,RAN,RARS,RIDA,RPL10,RPL11,Rpl23a,RPS14,RPS16,RPS17,RPS20,RPS3,SELL,Serpina3g (includes others),SLC2A1,SLC3A2,SNRPD2,SOCS3,SSBP1,STAT4,STT3A,TAX1BP1,TERT,TK1,TNFRSF9,TNFSF10,TPD52,Ubb,VEGFA,YWHAG,ZBTB17,ZSCAN21	1183 (17)	
CD24	 	other	Inhibited	-3.523	9.34E-03	ADD3,ADRB2,APOBEC3B,ASPM,ATF3,ATP13A3,CDC27,CDKN1A,DUSP5,EMP3,FOS,HMMR,HS2ST1,ISG20,KIF18A,N4BP3,NCOA3,PDS5A,PHF10,PPP1R15A,PRDX2,RAD50,RNF25,SPG11,THBS1,TMEM135,TRIM2,TTC3,UROD,VPS13B,VPS13C	 	
CREM	-57961.313	transcription regulator	Inhibited	-2.267	5.44E-04	ABCA1,ADRB2,ATF3,BHLHE40,BTG2,CCND2,CD247,CD8A,CD8B,CDK5,CREM,CSRNP1,CYP51A1,DUSP1,DUSP14,EGR1,FASLG,FOS,GADD45B,GPD2,GPR19,HMGCR,HMGCS1,HSPA4,IDI1,IFNG,IRS2,JUNB,LDLR,MSMO1,MVK,NAB2,NFIL3,NFKBID,NPC2,NR4A1,NR4A2,PDXK,PER1,PGK1,PPP1R15A,RHOB,SERTAD1,Sik1,THBS1,VEGFA	813 (10)	
ELAVL1	-37.533	other	Inhibited	-2.484	9.61E-05	ABCA1,ATF3,CASP2,CCNE1,CDKN1A,DGAT1,DUSP1,EIF4ENIF1,ELAVL1,FOS,GATA3,HMOX1,KIF11,KIF18A,MYBL2,NCAPG,NDUFB8,OSBPL2,PIGR,PLCG2,PRC1,PTGS2,RACK1,RFC5,RPN2,RPS14,SLC25A11,SLC7A11,STAT3,TIA1,TIMM17A,TRIOBP,VAPB,VEGFA,WEE1,ZFP36	820 (8)	
LGALS1	1.077	other	Inhibited	-2.849	4.10E-02	AHR,CCND2,CD69,CDKN1A,CDKN1B,CTLA4,FIS1,HLA-G,IFNG,IFNGR2,IL10,IL21,KRAS,LGALS3,PDCD1	 	
VEGFA	-92.504	growth factor	Inhibited	-6.293	1.19E-02	ABCC1,ACADM,ACSL1,ADAMTS1,AKT1,ALAS1,ATP5G3,ATP5J2,BAX,BCAT2,BTLA,CASP3,CCNE1,CD160,CD55,CD68,CDKN1A,CDKN1B,CTLA4,CTSB,CTSS,CXCR4,DIABLO,DUSP5,E2F2,E2F3,EGR1,ETS2,FOS,FOSB,GART,HLA-DQB1,HMOX1,HSPA5,IFNG,IKBKE,IL10,ITGA1,ITGAV,JUNB,LAG3,ME2,MEF2C,MRPL23,MRPL3,MTIF2,MVP,NME1,NME2,NR4A1,NR4A2,NRP1,PDCD1,PIK3CG,PIM1,PTGS2,RCAN1,SCO2,SDHD,SET,SLC12A6,SLC25A17,TERT,TGFB1,THBS1,TLR1,TNFRSF9,TSPO,TUFM,UQCRB,VEGFA	 	
IL4	 	cytokine	Inhibited	-6.126	1.35E-08	ABLIM1,ACOT9,ACOX1,Acp5,ACSL1,ACTG1,ADAM19,AHR,AK2,ALAS1,ALOX15B,ALOX5AP,ANXA6,APH1A,ASCC3,AUH,B4GALT7,BAX,BBX,BCAT2,BCL6,BHLHE40,BIN1,BOP1,BPGM,BTAF1,CAD,CASP3,CAT,CCND2,CCNE1,CCR5,CCR7,CCR8,CCT3,CD200R1,CD274,CD38,CD3EAP,CD55,CD69,CD74,CD8A,CDKN1A,CDKN1B,CHD4,CLNS1A,CLTC,CLUH,COBLL1,CPOX,CRIP1,CSF1R,CST7,Ctla2a/Ctla2b,CTNNA1,CXCL3,CXCR4,CYB5A,CYSLTR2,DARS2,DENND4A,DGKA,DSG1,EBNA1BP2,EEA1,EIF2S1,EVI5,F2RL1,F2RL2,FAAH,FASLG,FBL,FCGR2A,FCGR2B,FLNB,FLRT2,FOS,FOSB,GATA3,GBP3,GBP7,GFM2,GNA15,GNPNAT1,GPX4,GZMA,HDDC2,HK2,HMGCR,HSD11B1,HSPA1A/HSPA1B,ICOSLG/LOC102723996,IDE,IER3,IFI16,IFIT3,IFNAR1,IFNAR2,IFNG,IFNGR2,Iigp1,IL10,IL12RB1,IL12RB2,IL16,IL18R1,IL21,IL3RA,IL4R,IRF4,IRF5,IRF7,IRF8,ISG15,ISG20,ITGA1,ITGAV,ITPA,JAK2,JUNB,KIAA1468,KLF6,KLRD1,KRR1,LEF1,LGALS3,LIF,LMAN2,LPIN2,LRP1,LY75,MAP2K1,MATK,METAP1,MOV10,MRE11,MRPS10,MS4A1,Ms4a4b (includes others),MSH2,MVK,Mx1/Mx2,MYH9,NAB2,NABP1,NAP1L1,NCOA3,NDRG1,NFIL3,NR4A3,NRP1,PAX5,PDCD1,PDE1B,PDK1,PDS5A,PIGR,PIM1,PIM2,PIN1,PKNOX1,PKP3,PLSCR1,PMVK,POLA1,POLG,PPP6C,PREPL,PRF1,PRKAG1,PRKCD,PRKDC,PRR3,PSMA6,PSMB8,PTGS2,PTPRCAP,RAD50,RCC1,RHOA,RIDA,RNF5,RNPS1,S100A10,SELL,SELP,SEMA4D,Serpina3g (includes others),SERPINB6,SLC25A25,SLC29A1,SLC2A1,SMG7,SNX4,SOCS3,SPHK2,SPINT2,SPP1,SRM,STAT2,STAT4,SYK,SYNGR2,SYT11,TBC1D17,TBX21,TFAP4,TGFB1,TGFBI,TGFBR1,Tgtp1/Tgtp2,TICAM1,TLE1,TMED5,TNFRSF9,TOP3B,Trim30a/Trim30d,TXK,UCHL3,USP10,VEGFA,VPS13C,VTI1A,XPO7,XRCC5,XRCC6,ZCCHC18,ZFP36,Zfp53,ZZZ3	686 (14)	
SPP1	-4468.713	cytokine	Inhibited	-4.234	7.21E-04	Acp5,AKT1,APAF1,ATM,AURKA,BAX,BCL2L11,BRCA1,CAPNS1,CCNE1,CCS,CD9,CDC20,CDKN1A,COX7A2L,CXCL3,CXorf21,ETS2,FOS,FOXRED1,GPX4,GSTZ1,HMGCR,HMOX1,IFNG,IL10,ILK,INSIG1,ITGAV,LIF,MZF1,NDRG2,NDUFA9,NDUFB9,NDUFS4,NDUFS8,PGD,PIK3R1,POR,PTGS2,S100A6,SAMM50,SC5D,SELENOW,SOX8,SPARCL1,SPP1,TERT,TGFB1,TGFBR1,TXNRD2,VEGFA	1235 (17)	
ESR2	 	ligand-dependent nuclear receptor	Inhibited	-2.771	1.00E00	ABCA1,Abcb1b,ABLIM1,ADAMTS1,AKAP12,ANK1,AP4M1,APEX1,ARL4A,ARRDC4,ASB2,ATF3,BID,BIN1,BMPR2,CBFA2T3,CCNA2,CD3EAP,CDK5R1,CDKN1A,CDKN1B,CHST15,DNAJC1,EGR1,EMB,EPHA3,F2RL1,FOS,GCLC,GCSH,GLB1,GM2A,GPSM2,GSTP1,HOXD11,HSD17B4,IMPDH2,JUNB,KLF4,ME2,MPC1,MPP7,MXD1,NDRG1,NDRG2,PERP,PIBF1,PSAT1,PTGS2,PYGL,RALA,RHOQ,ROCK1,RP2,RPS6KA4,SGK1,SLC12A4,SLC25A4,SMC2,SOCS3,SORD,SPP1,ST8SIA4,SUCLA2,TENM4,TERT,TMEM2,TMEM229B,TRIB1,TRIM23,TSPO,UBL3,UCK2,VEGFA	 	
CHEK2	-1.559	kinase	Inhibited	-2.186	5.04E-03	APAF1,BAX,CDKN1A,KRAS,MDM2,Pmaip1,TJP1,TP53BP2	1050 (15)	
MYCBP	-508.615	transcription regulator	Inhibited	-2.236	3.68E-03	CAD,CCND2,CDK4,EIF2A,ODC1	 	
EIF4G1	-1.537	translation regulator	Inhibited	-2.828	4.29E-02	ATM,BRCA1,BRCA2,MRE11,RAD50,RAD51,RFC4,RFC5	 	
XBP1	2.645	transcription regulator	Inhibited	-7.162	4.56E-08	ADAM10,ARCN1,ATF6,ATG5,BET1,BET1L,BFAR,BLZF1,CAT,COG6,COPB1,COPZ1,CREB3,CRK,DERL1,DNAJC1,DNAJC3,EDEM1,ERLEC1,ERP29,FKBP2,GOLPH3L,GOPC,GOSR2,HDAC3,HERPUD1,HMOX1,HSPA13,HSPA5,HYOU1,IRF4,KDELR2,KLF4,LMAN1,LMAN2,MCFD2,NCF1,NR1H3,PIGA,RAB33B,RCN3,RPN1,RPN2,S100A6,S1PR1,SEC11C,SEC22B,SEC23A,SEC23B,SEC24D,SEC61G,SPCS3,SREBF1,SRP19,SRP9,SRPRA,SRPRB,SSR1,SSR2,SSR3,SSR4,STARD5,STX18,STX5,SURF4,TFDP1,TOP1,TRAM1,TXNDC5,VAMP4,XRCC6,YIF1A,YIPF5	217 (3)	
SREBF1	-2734.788	transcription regulator	Inhibited	-3.657	1.75E-02	ABCA1,ACLY,ACSL1,ACSS2,ATOX1,BAX,BHLHE40,CDK4,CDKN1A,CYB5A,CYP51A1,DGKQ,DPY19L3,EHHADH,ETHE1,FADS1,FDPS,G6PD,GPAM,GSR,HK2,HMGCR,HMGCS1,HMOX1,HSPA13,HSPA1A/HSPA1B,HSPA5,IDI1,IL10,IMMT,INSIG1,IRS2,LDLR,LGALS3,MEF2C,MSMO1,MVD,NFIL3,NR1H3,PLS3,PMPCA,PMVK,PTGS2,RDH11,SC5D,SORBS3,SREBF1,STX1A,SUCLG1,TGFB1,UQCRFS1,VEGFA	 	
PTGER2	-59.578	g-protein coupled receptor	Inhibited	-3.971	1.50E-04	ANAPC1,ANAPC2,ARFGEF1,ASPM,AURKA,BRCA1,CCNA2,CCR7,CSF1R,CXCR4,ECT2,EGR1,ESD,EXOC7,HIST1H2AB,HIST1H2AD,IFNG,IL10,ITCH,KIF11,KIF15,KLRD1,MASTL,MELK,NFKBID,NUSAP1,PIM1,PRC1,PTGS2,SPAG5,SPP1,STIL,TBL3,THBS1,TTK,VEGFA	842 (13)	
TFEB	-139.484	transcription regulator	Inhibited	-3.569	2.41E-02	Acp5,ATP6V0E1,ATP6V1A,ATP6V1B2,CTSA,CTSB,GALNS,GBA,HEXA,PIP4P1,SGSH,TPP1,VEGFA	 	
