© 2000-2018 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Flags	Molecules	# Molecules
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	Priming of T lymphocytes	4.24E-06	 	-0.788	bias	C3,CD40,CD80,CEACAM1,CLEC1B,CTLA4,IFNG,IL15,NFIL3,SERPINB9,TNF,TNFSF4	12
Cell Death and Survival	Cell death of pancreas	2.92E-04	 	-0.782	 	ATF3,CDH1,CXCR4,IFNG,IFT88,IGF1R,IRS2,JUNB,MMP9,NR4A1,PPARG,SOCS3,TNF,TTR,VEGFA	15
Humoral Immune Response, Protein Synthesis	Production of antibody	4.64E-09	 	-0.776	 	ATF3,BANK1,BHLHE40,BLNK,CD19,CD274,CD40,CD69,CD80,CD81,CDH17,CIITA,CR2,CSF2RB,CTLA4,EBF1,ESR1,FCGRT,FCMR,FCRLA,GADD45B,ID3,IFNG,Ifnz (includes others),IL13RA1,IL15,IL4R,IRAK3,ITK,ITPKB,JCHAIN,MARCO,MMP9,NFIL3,NFKBIZ,POU2AF1,PPARG,RASGRP3,RGS1,SIGLEC10,TIMD4,TLR8,TNF,TNFSF13B	44
Cancer, Hematological Disease, Organismal Injury and Abnormalities	Hematologic cancer of cells	1.15E-05	 	-0.773	bias	ADA,ANPEP,ANXA1,C3,CBX4,CCR3,CD19,CD200,CD40,CD69,CDH1,CDKN2A,CIITA,CLK1,CR2,CREM,CSF3R,DCLRE1A,DUSP2,DUSP5,EGR1,ENPP2,GADD45B,GP1BA,HSP90AA1,IFNG,IL13RA1,IL15,IRS2,ISG20,ITPKB,KLF6,LAD1,LMO1,LRRC23,MCAM,MMP9,NR4A2,NR4A3,OAS1,ODC1,PAX5,PER1,RARB,S1PR3,SEPT10,SERPINF1,SKIL,TIMP2,TJP1,TLR8,TNFAIP3,TNFRSF8,TUBB1,TUBE1,VEGFA,ZBTB10	57
Cell Death and Survival, Organismal Injury and Abnormalities, Renal and Urological Disease	Cell death of kidney cells	8.59E-05	 	-0.762	 	ABCG2,ALDH3B1,ATF3,BCL2L14,BNIP3,DUSP1,E2F6,EEF1A1,ELOVL4,ERBB2,ESR1,FOS,GSTM5,HSPA1A/HSPA1B,HSPA5,IFNG,IGF1R,IRS1,KCNB1,KL,MELK,MZB1,NAMPT,NLRC4,PLA2G4A,PNPLA8,PPARG,PPP1R15A,PRNP,PTK2,SNCA,SRXN1,TGFB1I1,TNF,TNFRSF25,UNC13B,UXT,VEGFA	38
Infectious Diseases	Parasitic Infection	2.18E-10	 	-0.754	bias	ANXA1,BATF3,C3,Cd24a,CD274,CD40,CD81,CHRM3,CHRM4,CIITA,CSF3R,CXCR4,HBA1/HBA2,HBB,IFNG,IL13RA1,IL15,IL18,IL4R,ITGAD,ITK,ITPKB,JCHAIN,MT-CYB,ODC1,PLA2G4A,PLCL1,POU2AF1,SLAMF6,SLC11A1,SOCS3,TNF,TNFSF4	33
Cell Death and Survival, Organismal Injury and Abnormalities, Renal and Urological Disease	Necrosis of kidney	5.03E-05	 	-0.748	 	ABCG2,ALDH3B1,ATF3,BCL2L14,BNIP3,DNASE1,DUSP1,E2F6,EEF1A1,ELOVL4,ERBB2,ESR1,FOS,GSTM5,HSPA1A/HSPA1B,HSPA5,IFNG,IGF1R,IL18,IRS1,KCNB1,KL,MELK,MZB1,NAMPT,NLRC4,PLA2G4A,PNPLA8,PPARG,PPP1R15A,PRNP,PTK2,SNCA,SRXN1,TGFB1I1,TNF,TNFRSF25,UNC13B,UXT,VEGFA	40
Cell Death and Survival	Activation-induced cell death of T-cell hybrid cells	1.89E-04	 	-0.739	 	CTLA4,IRS1,NR4A1,TNF,TNFAIP3	5
Immunological Disease	Systemic autoimmune syndrome	7.62E-11	 	-0.732	 	ADA,AIF1,ALAS2,ANXA1,Apol7e (includes others),BANK1,BLK,BLNK,C130026I21Rik (includes others),C3,CCR8,CD19,CD274,CD40,CD69,CD79A,CD80,CDH1,CDH17,CEACAM1,CERS6,CHRM3,CHRM4,CIITA,CLEC12A,CLEC1B,CLEC9A,COL10A1,COL11A2,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DAPL1,DNASE1,DNASE1L3,DPAGT1,DUSP1,DUSP2,EGR3,ESR1,FCGR3A/FCGR3B,FCGRT,FCMR,FCRL1,FES,FOS,FOSB,GADD45B,GBP6,Gm4951,Gm6377,GP1BA,GPR15,H2-Eb2,HAAO,HBA1/HBA2,HELZ2,HIST1H2AC,HLA-A,HLA-DMB,HLA-DOB,HLA-F,HSPA1A/HSPA1B,HSPA8,IFIT1B,IFNG,IL15,IL18,IL1R2,IL4R,IRAK3,JAG1,KL,KLF12,KMO,LILRB3,LIN9,LRRC32,LYRM4,MAGI1,MFHAS1,MIPOL1,MMP9,MZB1,NAMPT,NECTIN1,NOTCH4,NR1H3,NR4A1,NR4A2,NR4A3,OAS1,OR12D2,PILRB,PPARG,PRNP,RGS1,RNASE6,RNF14,RPL18A,RPSA,RTP4,SCD,SCN4A,SIGLEC10,SLAMF6,SLC3A2,SLC7A11,SLFN12L,SNCA,SOCS3,TJP1,TLR8,TMEM51,TNF,TNFAIP3,Tnfrsf22/Tnfrsf23,TNFSF13B,TNFSF4,VEGFA,VIPR1,ZBP1,ZNF705A	125
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Collagen-induced arthritis	1.91E-04	 	-0.726	 	AHR,ANXA1,CD69,CR2,CTLA4,DUSP1,ERBB2,IFNG,IL18,IL1R2,IL4R,PLA2G4A,TNF,TNFSF13B	14
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	Expansion of lymphocytes	9.09E-06	 	-0.724	 	AHR,C3,Cd24a,CD274,CD40,CD69,CD80,CR2,CTLA4,EBF1,EGR1,HSPA8,IFNG,IL15,IL18,IL4R,ITK,LRRC32,PPARG,SERPINB9,SIGLEC10,TNF,TNFAIP3,TNFSF13B	24
Infectious Diseases	Protozoan infection	4.20E-05	 	-0.724	 	BATF3,C3,CD40,CHRM3,CHRM4,HBA1/HBA2,HBB,IFNG,MT-CYB,PLA2G4A,PLCL1,SLC11A1,TNF,TNFSF4	14
Cardiovascular System Development and Function, Organismal Development	Vascularization of absolute anatomical region	1.33E-05	 	-0.704	bias	ANPEP,C3,C6,CD40,ERBB2,HEXIM1,IFNG,IGF1R,IL18,IRS1,MMP9,PLA2G4A,PPARG,PRKCG,S1PR3,SERPINF1,SOCS3,TIMP2,TNF,VEGFA	20
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	Development of plasma cells	2.74E-04	 	-0.686	bias	CD40,CD69,CD80,CR2,PPARG	5
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	Differentiation of myeloid leukocytes	5.52E-06	 	-0.671	bias	CALCB,CD40,CD8A,CEACAM1,CFP,CSF2RB,CSF3R,DUSP5,EGR1,ETS2,FES,FOS,GAB2,HHEX,IFNG,Ifnz (includes others),IGF1R,IL13RA1,IL15,IL17C,IRS1,KLF4,MYBL2,NDST2,NLRC4,PAX5,PLA2G4A,PPARG,RARB,SIGLEC9,SOCS3,TNF,VEGFA,ZFP36L1	34
Post-Translational Modification	Phosphorylation of protein	1.38E-06	 	-0.670	bias	ACVR1,AHR,AIF1,C3,C8orf44-SGK3/SGK3,CALCB,CAMKK1,CCDC88A,CCR3,CD19,Cd24a,CD40,CD79A,CD81,CD8A,CDC42BPB,CDC42BPG,CDKL5,CDKN2A,CHST15,CLEC1B,CLK1,CTLA4,CXCR4,DMPK,DSCAM,DUSP1,EPHA1,ERBB2,FES,GBP6,GRK3,HSPA8,IFNG,IGF1R,IRAK3,IRS1,ITGA2B,ITK,ITPKB,Klra7 (includes others),LILRB3,LIPE,LRP4,LRRN3,MAP3K10,MAP3K13,MARCO,MELK,MEN1,MMP9,NEK4,OBSCN,ODC1,PHKA1,PLK2,PLK3,PRKCG,PRNP,PTK2,PTPN14,SHPK,Sik1,SLC3A2,SNCA,SOCS3,TLR8,TNF,TNFRSF8,TSSK2,ULBP1,VEGFA,WDFY2	73
Cell-To-Cell Signaling and Interaction	Activation of cells	1.99E-12	 	-0.650	bias	ADA,AHR,ANXA1,ATF3,BANK1,BHLHE40,BLK,BLNK,C3,C6,CD19,CD200,Cd24a,CD274,CD300LD,CD40,CD69,CD79A,CD80,CD81,CD8A,CDH1,CDKN2A,CEACAM1,CLEC12A,CLEC1B,CR2,CSF2RB,CTLA4,CXCR4,DAND5,DNASE1,DOK3,DUSP1,DUSP22,EBF1,EGR3,ERBB2,F2RL3,F5,FCGR3A/FCGR3B,FFAR2,FOS,GGT1,GP1BA,GP2,HLA-A,HLA-DMB,ID3,IFNG,IL15,IL18,IL4R,IRAK3,IRF6,ITGA2B,ITGA3,ITGAD,ITK,ITPKB,KCNJ10,KLF4,Klra7 (includes others),LGALS4,LILRB3,LRRC23,LY96,MFSD2A,MMP9,MTTP,NFIL3,NFKBID,NFKBIZ,NR1H3,NR4A1,NR4A2,NR4A3,NUCB2,PALLD,PARPBP,PAX5,PENK,PILRB,PLA2G2D,PLA2G4A,PLXNB1,POU2AF1,PPARG,PRG3,PRNP,PTK2,RAP2B,SERPINB9,SERPIND1,SERPINF1,SHPK,SIGLEC10,SIGLEC9,SLAMF6,SLC11A1,SLPI,SNCA,SPTB,TIMD4,TLR8,TNF,TNFAIP3,TNFRSF8,TNFSF13B,TNFSF4,TTR,ULBP1,VCAN,VEGFA,VIPR1,ZBP1	116
Connective Tissue Development and Function, Tissue Development	Growth of connective tissue	4.78E-05	 	-0.617	 	AHR,AIF1,ANPEP,ATF3,BCL2L2,C8orf44-SGK3/SGK3,CD274,CD40,CDH1,CDKN2A,CEACAM1,CIITA,CTLA4,DSG2,DUSP1,ERBB2,ESR1,FOS,FOSB,FOSL2,GGT1,GP2,HSPA1A/HSPA1B,IFNG,IGF1R,IL15,IL17C,IL18,IRF6,IRS1,ITK,JUNB,KL,KLF4,KLK3,LGALS4,LIMA1,LIN9,MEN1,MMP9,MYBL2,MYCL,NFKBID,PGAM2,PLCE1,PLK2,PLXNB1,PPARG,PRDX4,PRKCG,PTK2,SERPINF1,SKIL,SLC3A2,SLC7A11,SOCS3,TGFB1I1,TGIF1,TGM1,TIMP2,TNF,TNFSF13B,VCAN,ZFP36L1	64
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	Expansion of mononuclear leukocytes	1.76E-06	 	-0.615	 	AHR,C3,Cd24a,CD274,CD40,CD69,CD80,CR2,CTLA4,EBF1,EGR1,GAB2,HSPA8,IFNG,IL15,IL18,IL4R,ITK,LGALS4,LRRC32,PPARG,SERPINB9,SIGLEC10,TNF,TNFAIP3,TNFSF13B	26
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	Malignant neoplasm of male genital organ	2.82E-04	 	-0.600	 	ABCG2,ACAD8,ADAMDEC1,ADCK5,AFF1,AFG1L,AMD1,ANGEL1,ANKRD13B,ANKRD35,ANXA1,ARHGAP28,B4GALT4,BBS10,BCAR3,BCL11A,BHLHE40,BORA,C3,C6,C8orf44-SGK3/SGK3,C9orf50,CACNA1E,CACNA2D4,CACNB1,CACNB3,CARS2,CBX4,CBY1,CCDC88A,CCR3,CD274,CD69,CD79A,CD80,CDC42BPB,CDH1,CDH17,CDH23,CDKN2A,CEACAM1,CEP290,CFP,CHAD,CHGB,CHRM3,CHRM4,CIITA,CKAP4,CLEC9A,CNGA1,CPNE7,CPNE8,CR2,CREM,CSF2RB,CSF3R,CSRNP1,CTLA4,CXCR4,CYP17A1,DGKI,DMPK,DNAJB2,DNASE1L1,DNASE1L3,DOCK7,DPAGT1,DSCAM,DSP,DTX4,DUSP1,DUSP2,DUSP5,DYSF,EBF1,EFCAB2,EHF,ELOVL7,ENOX2,EPHA1,ERBB2,ESR1,ETS2,EVC2,EXOC1,F5,FAM124B,FAM129B,FAM184A,FAM71B,FAM83H,FANCA,FANCL,FCGR3A/FCGR3B,FGD2,FMN1,FOS,FSCN1,GADL1,GARNL3,GDAP1L1,GEN1,GFOD2,GGT1,GNAO1,GPR146,GPR22,GPR83,HBA1/HBA2,HEPACAM2,HSP90AA1,HSPA5,HSPA8,ID3,IFNG,IFT57,IGF1R,IL1R2,IL4R,INPP4B,IRS1,IRS2,ISPD,ITGAD,ITK,JAKMIP2,JCHAIN,JUNB,KCNA2,KCNB1,KDM6B,KIAA1324,KIAA1841,KIF19,KIF20A,KLF4,KLF6,KLK3,KREMEN2,KSR2,LGALS4,LIN9,LIPE,LMLN,LRRC32,LY96,MAGI1,MAP3K13,MAP3K15,MAP7D2,MAP7D3,MARCO,MCTP1,MEN1,MIS18BP1,MMP9,MPP2,MREG,MT-CO1,MTX3,MYBL2,MYCL,MYO18B,MYO1H,NCKIPSD,NDST2,NEK4,NR4A2,NR4A3,NUDT7,OBSCN,ODC1,OR5K1,PABPC1L,PAQR4,PARVA,PER1,PGBD1,PLCE1,PLIN4,PLXNB1,PNPLA8,PPARG,PPP1R15A,PPP1R3B,PRAM1,PRKCG,PTK2,PTPRM,PYCR3,RARB,RASGRP3,RDH12,RFTN2,RGS1,RNF144A,RSPH1,RSPH3,RTKN,RTP4,RUBCNL,RYR1,SCN11A,SEC14L1,SEMA3E,SFMBT2,SGPP2,SIGLEC10,SIMC1,SKIDA1,SKIL,SLC16A2,SLC17A9,SLC25A13,SLC25A14,SLC26A6,SLC27A1,SLC3A2,SMUG1,SNCA,SOCS3,SPON1,SPTB,STAB2,STARD9,STOM,STRADB,SYTL1,TENM1,TFPI,TGM1,TIFA,TMC4,TMEM69,TMPRSS13,TNF,TNFRSF8,TNFSF13B,TRADD,TRAPPC6A,TRDMT1,TRIM6-TRIM34,TRMT11,TSHZ3,TSPAN33,TSPAN4,TTR,TTYH1,TUBB1,TUBE1,UBC,ULBP1,UNC13B,USP46,VCAN,VEGFA,WWC1,ZBTB10,ZFYVE1,ZNF366,ZNF446,ZNF551,ZNF626,ZNF780A	265
Cell Death and Survival	Apoptosis of islets of Langerhans	1.36E-04	 	-0.599	 	ATF3,CDH1,IFNG,IGF1R,IRS2,JUNB,MMP9,NR4A1,PPARG,SOCS3,TNF,TTR,VEGFA	13
Lipid Metabolism, Small Molecule Biochemistry	Synthesis of fatty acid	1.27E-04	 	-0.597	bias	ADA,ANXA1,CBR4,CCR3,CD40,CEACAM1,EGR1,ELOVL4,ELOVL7,ERBB2,FAM213B,HBB,HPGD,IFNG,IL15,IL18,IL1R2,ITGA3,MGST2,NR1H3,PLA2G2D,PLA2G4A,PNPLA8,PPARG,PRG3,PRNP,RARB,S1PR3,SCD,SIGLEC9,SNCA,SOCS3,TNF,VEGFA	34
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	Lymphopoiesis of B lymphocytes	1.89E-04	 	-0.581	 	CXCR4,EBF1,FOS,IFNG,Ifnz (includes others)	5
Cell-To-Cell Signaling and Interaction	Response of lymphatic system cells	1.66E-04	 	-0.579	bias	ADA,AHR,BHLHE40,CD200,CD274,CD40,CD80,CD8A,CSF2RB,CTLA4,IFNG,IL15,IL18,ITK,ITPKB,Klra7 (includes others),NAMPT,NFIL3,PPARG,PRNP,SIGLEC10,SOCS3,TIMD4,TNF,TNFRSF25	25
Cellular Movement	Invasion of breast cancer cell lines	2.71E-04	 	-0.576	bias	AHR,BCAR3,CCDC88A,Cd24a,CDC42BPB,CDH1,CXCR4,ERBB2,ESR1,FSCN1,GAB2,HEXIM1,HHEX,HSP90AA1,IRS2,ITGA3,KDM6B,KLF4,KLF6,LIMA1,MCAM,MMP9,NAMPT,PALLD,PARVA,PAX5,PTK2,TDO2,TFPI,TJP1,TNF	31
Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response, Tissue Development	Accumulation of leukocytes	2.38E-04	 	-0.576	 	AHR,ANXA1,C3,C6,CCR3,CD200,CD274,CD40,CD80,CTLA4,CXCR4,DUSP1,EGR1,ENPP2,ETS2,FCGR3A/FCGR3B,IFNG,IL15,IL18,MMP9,NLRC4,NR4A1,SLPI,TIMP2,TNF,TNFRSF25,TNFRSF8,TNFSF4,VEGFA	29
Cancer, Organismal Injury and Abnormalities	Abdominal cancer	1.61E-06	 	-0.570	 	ABCG2,ABLIM2,ACAD8,ACTG2,ACTN1,ACVR1,ADA,ADAM23,ADAMDEC1,ADCK5,AFF1,AFG1L,AHR,AIF1,AKAP7,ALAS2,ALG6,ALG8,ALKBH2,AMD1,AMPH,ANGEL1,ANKRD13B,ANKRD29,ANKRD35,ANKRD39,ANPEP,ANXA1,ARHGAP22,ARHGAP28,ARHGEF9,ARMC3,ARMC6,ASB7,ASIP,ATF3,ATF5,ATP6V0D2,AUNIP,AXDND1,B4GALT4,B9D2,BANK1,BBS10,BBS12,BCAR3,BCAT1,BCDIN3D,BCL11A,BCL2L2,BCO2,BHLHE40,BHMT2,BLK,BLNK,BNIP3,BORA,BUD23,C14orf93,C1orf123,C1orf146,C3,C6,C7orf31,C8orf44-SGK3/SGK3,C9orf131,C9orf50,CACNA1E,CACNA2D4,CACNB1,CACNB3,CACNB4,CALCB,CAMKK1,CAPN3,CARNS1,CARS2,CBR4,CBX4,CBY1,CCDC112,CCDC138,CCDC141,CCDC18,CCDC191,CCDC28A,CCDC73,CCDC88A,CCR3,CCR8,CD19,CD200,CD274,CD5L,CD69,CD79A,CD80,CD8A,CDC42BPB,CDC42BPG,CDH1,CDH17,CDH23,CDK14,CDKL2,CDKL5,CDKN2A,CEACAM1,CECR2,CELA1,CENPH,CENPX,CEP162,CEP290,CEP41,CEP72,CERKL,CFP,CHAD,CHGB,CHML,CHRM3,CHRM4,CHRNB1,CHRNE,CHST15,CHST3,CIITA,CKAP4,CLCN2,CLEC12A,CLEC1B,CLEC9A,CLK1,CNGA1,CNKSR3,COL10A1,COL11A2,COL20A1,COQ10B,CORO2B,CPNE7,CPNE8,CR2,CREM,CSF2RB,CSF3R,CSRNP1,CSRP2,CTLA4,CTU1,CUTC,CXCR4,CXorf57,CYP17A1,Cyp4f17,DBNDD2,DCAKD,DCLRE1A,DCXR,DENND4A,DGKI,DLG2,DMAP1,DMPK,DNA2,DNAAF4,DNAH17,DNAJB2,DNAJB7,DNAJC28,DNASE1,DNASE1L1,DNASE1L3,DOCK7,DOHH,DOK3,DPAGT1,DPCD,DPP7,DPYSL5,DSCAM,DSCC1,DSG2,DSP,DTX4,DUSP1,DUSP12,DUSP2,DUSP22,DUSP5,DYNC2LI1,DYNLT1,DYSF,EBF1,EEF1A1,EFCAB2,EFCAB9,EGR1,EGR3,EHF,ELMO3,ELOVL7,ENGASE,ENKD1,ENOX2,ENPP2,ENPP6,EPHA1,ERBB2,ERVFRD-1,ESR1,ETS2,EVC2,EVPL,EXOC1,EXTL2,F2RL3,F5,FAH,FAM114A1,FAM124B,FAM129B,FAM184A,FAM71B,FAM78B,FAM83H,FAM91A1,FANCA,FANCL,FBXL4,FCGR3A/FCGR3B,FCGRT,FCRLA,FES,FFAR2,FGD2,FHIT,FILIP1,FMN1,FOS,FOSB,FOSL2,FSCN1,GAB2,GADL1,GALK1,GALNT14,GALNT9,GALR2,GARNL3,GATM,GBP6,GCH1,GCNT2,GDAP1L1,GEN1,GFOD2,GGT1,GK5,GNAO1,GP1BA,GP2,GPM6B,GPR146,GPR22,GPR83,GRHL1,GRHPR,GSTM5,GTSE1,GUCY1A3,HBA1/HBA2,HBB,HCN3,HEPACAM2,HEXIM1,HHEX,HLA-A,HLA-DOB,HLA-F,HPGD,HSP90AA1,HSPA1A/HSPA1B,HSPA5,HSPA8,HTATIP2,ID3,IER5L,IFIT1B,IFNG,IFT57,IFT74,IFT88,IGF1R,IL13RA1,IL15,IL17C,IL18,IL1R2,IL1RL2,IL4R,INPP4B,IPP,IRAK3,IRF6,IRS1,IRS2,ISG20,ISPD,ITGA2B,ITGA3,ITGAD,ITK,ITPKB,JAG1,JAKMIP2,JAZF1,JCHAIN,JMY,JUNB,KANK3,KCNA2,KCNB1,KCNC1,KCNJ10,KCNJ13,KCNK6,KDELC1,KDM6B,KIAA0513,KIAA1324,KIAA1841,KIF13A,KIF19,KIF20A,KIF9,KL,KLF12,KLF4,KLF6,KLK3,KMO,KREMEN2,KRTCAP3,KSR2,KYNU,L2HGDH,LAD1,LAPTM4B,LCAT,LGALS4,LILRB3,LIMA1,LIN9,LIPE,LIPT1,LMBR1,LMLN,LMO1,LRP4,LRRC20,LRRC23,LRRC32,LRRC39,LRRN3,LSM7,LSR,LY96,LYRM2,LYSMD1,MAFF,MAGI1,MAP3K10,MAP3K13,MAP3K15,MAP6,MAP7D2,MAP7D3,MARCO,MARS2,MARVELD2,MASTL,MATN2,MCAM,MCRS1,MCTP1,MED18,MELK,MEN1,MFHAS1,MFSD2A,MFSD6,MICAL3,MIER2,MIPOL1,MIS12,MIS18BP1,MLF1,MLST8,MMACHC,MMP9,MOBP,MPI,MPP2,MREG,MRPL16,MRPS18A,MSL3,MT-CO1,MT-CO2,MT-CYB,MTTP,MTX3,MYBL2,MYO18B,MYO1H,MYPOP,NACC2,NADSYN1,NAMPT,NAT1,NCCRP1,NCKIPSD,NCMAP,NDST2,NDUFAF6,NEB,NEK4,NEU3,NFIL3,NFIX,NFKBID,NFKBIZ,NHSL2,NLRC4,NMRAL1,NOTCH4,NOXO1,NR1H3,NR4A1,NR4A2,NR4A3,NSUN7,NTHL1,NUCB2,NUDT22,NUDT7,NXPE4,OAS1,OBSCN,ODC1,OR5K1,OVGP1,OXLD1,OXNAD1,PABPC1L,PALLD,PAQR4,PARPBP,PARVA,PDE6D,PENK,PER1,PFKFB4,PFKM,PGBD1,PHKA1,PIK3R3,PILRA,PILRB,PLA2G4A,PLA2G7,PLAG1,PLCE1,PLCL1,PLIN4,PLK2,PLK3,PLXNB1,PMEPA1,PNPLA8,PNRC1,POU2AF1,PPARG,PPFIBP2,PPP1R15A,PPP1R16B,PPP1R3B,PRADC1,PRAM1,PRDM9,PRKCG,PRNP,PROZ,PRSS53,PSMG3,PSTK,PSTPIP2,PTGES3L,PTK2,PTPN14,PTPRM,PTRH1,PYCR3,PYGL,QPRT,RAD51AP1,RAP1GAP2,RAP2B,RARB,RASAL1,RASGRP3,RBM44,RDH12,RDH5,REEP2,RFC3,RFTN2,RGS1,RGS11,RGS2,RMDN1,RNF144A,RP2,RPH3AL,RPL13A,RPP40,RPUSD3,RSPH1,RSPH3,RTKN,RTL5,RTP4,RUBCNL,RUNDC3A,RYR1,S1PR5,SAMD4A,SBSN,SCD,SCIMP,SCN11A,SCN4A,SEC14L1,SEC31B,SEC61A2,SELENBP1,SEMA3E,SEPT10,SERPINB9,SERPIND1,SFMBT2,SGPP2,SH3TC1,SHPK,SIGLEC10,SIGLEC9,SIMC1,SKAP2,SKIDA1,SKIL,SLAMF6,SLC11A1,SLC16A2,SLC17A5,SLC17A9,SLC25A13,SLC25A14,SLC25A33,SLC25A35,SLC26A6,SLC27A1,SLC35F6,SLC38A2,SLC3A2,SLC40A1,SLC44A1,SLC7A11,SLFN12L,SLPI,SMCR8,SMUG1,SNCA,SNX32,SOCS3,SORBS3,SP9,SPATA24,SPIRE1,SPO11,SPON1,SPTB,SRSF2,SSSCA1,STAB2,STARD9,STOM,STON1,STOX1,STRADB,STYK1,SUSD2,SUSD4,SYT1,SYTL1,TBCE,TCEANC,TDO2,TEAD2,TENM1,TEX15,TEX261,TFPI,TGFB1I1,TGIF1,TGM1,TIFAB,TIMD4,TIMM21,TIMP2,TJP1,TLE1,TLR8,TMC3,TMC4,TMCC2,TMCC3,TMEM126B,TMEM19,TMEM231,TMEM255A,TMEM51,TMEM69,TMEM91,TMIE,TMPRSS13,TNF,TNFAIP3,Tnfrsf22/Tnfrsf23,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF4,TNS2,TOB2,TPMT,TRADD,TRAPPC6A,TRDMT1,TRIAP1,TRIM17,TRIM2,TRIM6-TRIM34,TRIM68,TRMT11,TSC22D2,TSEN15,TSHZ3,TSPAN33,TSPAN4,TSSC4,TTC23,TTC25,TTC30A,TTR,TTYH1,TUBB1,TUBB2B,TUBE1,TVP23A,UBC,ULBP1,UNC13B,USP46,UTP14C,VCAN,VEGFA,VIPR1,VPS37B,WDFY2,WDPCP,WDR34,WDR66,WDYHV1,WFIKKN2,WWC1,XK,YDJC,YY2,ZBED5,ZBP1,ZBTB10,ZBTB34,ZDHHC13,ZFAND2A,ZFP14,ZFP36L1,ZFP36L2,ZFR2,ZFYVE1,ZNF202,ZNF23,ZNF276,ZNF296,ZNF365,ZNF366,ZNF442,ZNF446,ZNF471,ZNF473,ZNF518B,ZNF551,ZNF606,ZNF626,ZNF655,ZNF667,ZNF669,ZNF780A,ZNF8,ZPBP	721
Connective Tissue Development and Function, Lipid Metabolism, Small Molecule Biochemistry, Tissue Morphology	Lipolysis of adipose tissue	1.27E-04	 	-0.570	 	ANXA1,C3,CD5L,IL4R,LIPE,NR1H3,PLCL1,PPARG,TNF	9
Connective Tissue Development and Function, Lipid Metabolism, Small Molecule Biochemistry, Tissue Morphology	Lipolysis of adipocytes	2.46E-04	 	-0.570	 	ANXA1,C3,LIPE,NR1H3,PLCL1,PPARG,TNF	7
Cell Death and Survival	Cell death of myeloid cells	2.99E-05	 	-0.562	 	AHR,ANPEP,ANXA1,ATF3,BCL2L2,CD40,CD5L,CD69,CDKN2A,CXCR4,FOS,IFNG,IL15,IL18,IRAK3,MYBL2,NAMPT,NLRC4,NR4A1,PLA2G4A,PPARG,SERPINF1,SIGLEC9,SLC7A11,SLPI,TNF,TNFRSF8	27
Cardiovascular System Development and Function, Organismal Development, Visual System Development and Function	Neovascularization of eye	3.15E-05	 	-0.558	bias	ANPEP,C3,C6,IFNG,IGF1R,IL18,IRS1,MMP9,PLA2G4A,PRKCG,S1PR3,SERPINF1,SOCS3,TIMP2,TNF,VEGFA	16
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	Differentiation of T lymphocytes	6.83E-09	 	-0.557	bias	ADA,AFF1,AHR,ANXA1,BCL11A,BHLHE40,Bhlhe41,CD274,CD69,CD79A,CD80,CD8A,CDKN2A,CIITA,COL10A1,CTLA4,CXCR4,EBF1,EGR1,EGR3,GADD45B,HSP90AA1,ID3,IFNG,IGF1R,IL15,IL18,IL1RL2,IL4R,IRAK3,ITK,ITPKB,JAG1,JUNB,KLF4,LMO1,MARCH1,MEN1,NR4A1,NR4A2,PLA2G2D,PPARG,SLAMF6,SLC3A2,SOCS3,TNF,TNFAIP3,TNFRSF8,TNFSF13B,TNFSF4,ZFP36L1,ZFP36L2	52
Organismal Development	Morphogenesis of gland	2.85E-04	 	-0.553	bias	AHR,ANPEP,CDH1,CELA1,DSG2,ESR1,HEXIM1,KLF6,MMP9,PLAG1,TNF	11
